"TF","HD_SW480"
"AHR","1.092768560364981489"
"AR","0.957952065181173373"
"ARID2","0.669277827214085019"
"ARID3A","1.530128229296698894"
"ARNT","3.808921203714264792"
"ARNTL","0.917948630495714180"
"ASCL1","1.281479435525668675"
"ATF1","0.610788123963197371"
"ATF2","0.729112994416058702"
"ATF3","-3.204100148678989513"
"ATF4","-2.314334627872072225"
"ATF6","-0.356684479275623467"
"ATF7","0.788396047786920628"
"BACH1","-0.570063268415005764"
"BACH2","2.351501447524793065"
"BATF","0.358931108700185852"
"BCL11A","0.804940733758389926"
"BCL6","-1.765593679879157163"
"BHLHE22","-1.684020156661948153"
"BHLHE40","-0.473057649562830751"
"CDX2","-0.359475280840781175"
"CEBPA","3.896766394937472899"
"CEBPB","0.720169871169120679"
"CEBPD","1.478208053188185822"
"CEBPG","1.293136855095955884"
"CLOCK","2.680189199587580617"
"CREB1","0.419330374197540545"
"CREB3","1.127806588849814551"
"CREB3L1","2.049824563143680667"
"CREM","-1.211903267344702551"
"CTCF","1.762724583956336133"
"CTCFL","0.427870949998645445"
"CUX1","2.410032606207932027"
"DUX4","0.537755955811231035"
"E2F1","3.134483140788636213"
"E2F2","1.453810661503509571"
"E2F3","0.938081937019609846"
"E2F4","1.437728552555765704"
"E2F5","-0.173830084317671635"
"E2F6","0.104312380812348782"
"E2F7","2.856936397404128858"
"EBF1","1.919272097845566183"
"EGR1","0.601595301735086241"
"EHF","-1.147358592687451884"
"ELF1","1.558847701161867105"
"ELF3","1.448482192703225202"
"ELF5","-0.443580967337227849"
"ELK1","-0.491838760301205880"
"ELK4","1.249765784608765307"
"EOMES","1.709436307804994115"
"EPAS1","0.297396132527873891"
"ERG","1.157918100272926853"
"ESR1","0.360716269391680222"
"ESR2","-0.164079490071127126"
"ESRRA","-0.555412680445570794"
"ETS1","3.610518710089243744"
"ETS2","1.423210543735212941"
"ETV1","1.765157566121252630"
"ETV4","3.396252627177331895"
"FLI1","0.063829548983531312"
"FOS","1.571493985606529309"
"FOSL1","0.950792713921434274"
"FOSL2","1.525304691450429795"
"FOXA1","0.783251456158934323"
"FOXA2","-0.644455918409916229"
"FOXJ2","1.178508253554001906"
"FOXK2","0.419699231221892788"
"FOXL2","-0.204306368583518999"
"FOXM1","1.876103753205193847"
"FOXO1","-1.777721247958497175"
"FOXO3","1.098939642975802489"
"FOXO4","-0.928157908236916018"
"FOXP1","-4.492926488676022956"
"FOXP2","-1.717337310023185237"
"GABPA","2.079033543031510778"
"GATA1","0.530748009698766010"
"GATA2","-0.195666352775398095"
"GATA3","2.214041270062897304"
"GATA4","-0.223701888597461818"
"GATA6","1.287273405163077200"
"GFI1B","2.222081363297459422"
"GLI2","0.193500373700342704"
"GRHL2","-0.486496891645445351"
"HBP1","-1.184398106192878997"
"HHEX","-1.655195424000543536"
"HIF1A","1.385521291663336818"
"HINFP","1.266626131826267709"
"HMBOX1","-1.418201872181493073"
"HNF1A","-2.831891700861475236"
"HNF1B","-1.371712520196283869"
"HNF4A","-0.269072742769888351"
"HNF4G","1.251212103852988422"
"HOXA9","1.169609047354079445"
"HOXB13","-0.361076988965392309"
"HSF1","-1.116047021291672436"
"IKZF1","0.715621988870899006"
"IRF1","0.427749767962154193"
"IRF2","2.539233753996656962"
"IRF3","0.381995958548302317"
"IRF4","2.734937526540058172"
"IRF9","2.539072555036126388"
"JUN","2.012048826351813702"
"JUNB","3.093280181792764427"
"JUND","0.582435081296602375"
"KDM5B","1.450228740335194777"
"KLF1","0.945100072060407470"
"KLF13","-3.134307698631455086"
"KLF3","-0.609589926709165009"
"KLF4","-0.891181811172065852"
"KLF5","-0.376708787319180671"
"KLF6","2.777388770392376305"
"KLF9","-1.319613413106377253"
"KMT2A","-1.051857435286789322"
"LEF1","2.400982408899758003"
"LHX2","3.586462738371884562"
"LYL1","0.232689099058536270"
"MAF","-0.372258548862670846"
"MAFB","0.915266873602628261"
"MAFF","3.319010775322668305"
"MAFG","1.352371883778554551"
"MAFK","2.062427554451091716"
"MAX","0.246945768416143574"
"MAZ","0.931403060182261266"
"MBD1","1.380600986043862166"
"MBD2","-1.265294066194365241"
"MEF2A","4.347803635848454640"
"MEF2B","2.022173327107539276"
"MEF2C","4.542585449665485164"
"MEIS1","2.723480215324098896"
"MEIS2","3.146574589015779022"
"MITF","0.933970422686788981"
"MNT","-1.590185620295645474"
"MXI1","-1.817081832179350931"
"MYB","-0.372950720399700952"
"MYBL2","2.571342664806140377"
"MYC","-3.833846762284778276"
"MYCN","2.376636265600705400"
