"Query Name","Rank","Scaled Rank","Set_name","TF","Intersect","Set length","FET p-value","FDR","Odds Ratio","Library","Overlapping_Genes"
"DEG_LD_SW480","1","0.00847500000000000","REST_MCF7_HG19","REST","56","642","0.00000168300000000","0.000929","2.0990000000000002","ENCODE--ChIP-seq","HPCAL4,SFN,MMP24,TMEM43,TMEM40,KCNMA1,PIGH,FSTL4,OLFM1,ZNF655,APLN,BSN,SCN3B,TMEM151A,PCLO,SYP,CRYBA2,PERP,KCNV1,COL5A3,CNTN1,VGF,CRMP1,GNG4,CHGB,UNC13A,DKK3,SLC6A6,XKR7,PRUNE2,WDR17,NMNAT2,ANKRD37,CEMIP,CACNG4,TRMT61A,ACSL6,MAPK8IP2,MAPK8IP1,TMTC1,CARMIL3,PDE2A,RAB39A,CAMKV,AP3B2,ZDHHC22,SPTSSB,APBB1,CHCHD4,CPLX1,COQ6,ELAVL2,KRT86,GNA13,CADPS,GDAP1"
"DEG_LD_SW480","2","0.01695000000000000","CBX2_K562_HG19","CBX2","118","1781","0.00001856000000000","0.003420","1.5580000000000001","ENCODE--ChIP-seq","PPP4R4,EML1,MYL2,ATF3,KCNMB4,RHBDL3,NGFR,LRRC3,HOXC11,OLR1,PPARG,PELI2,PRAME,ERO1B,UBE2E1,UBE2E2,SLC9A2,TPST1,STK31,ATXN1,FBXO32,RLBP1,UPP1,ADGRV1,BEND6,APLN,ZNF853,RASSF2,SLPI,NKAIN1,PAG1,GREB1,DCLK2,TG,WNK2,WFDC2,TMEM150C,GAL,ARHGEF3,NEDD9,SERTAD4,TMEM176B,XG,CLGN,NXPH4,ARHGEF33,TFAP2A,ARHGEF38,GNB2,SOBP,GALNT8,CHI3L1,TMEM45A,CRMP1,GNG4,CNTFR,CHGB,DKK3,SYTL2,DKK4,SLAIN1,TNFSF4,EDARADD,METTL21C,GPR155,TMEM229B,DACH1,COL27A1,ANKRD44,CYS1,ITPR1,ILDR2,SLC15A3,DAB2,CDK6,RNF182,SLC26A9,SLC26A4,ANKRD33B,EIF4E3,DUSP15,LBP,ADAMTS7,NOD2,CACNG8,CACNG4,BET1,NECTIN1,OXTR,KATNAL2,MAOB,TSHZ2,CYP4X1,NAALAD2,TRPM6,BCL11B,BCL11A,GNG11,SESTD1,SLC44A2,SLC22A17,EDN1,ZDHHC11,PALD1,BEGAIN,EGFLAM,APBB1,MPZL2,SAA2,FCGBP,LTBP2,MARK1,MCF2L,OAS1,KLRG2,PDX1,SLC4A8,FAM167A"
"DEG_LD_SW480","3","0.02542000000000000","FOSL1_C2C12_MM9","FOSL1","18","221","0.00900800000000000","0.710000","1.9470000000000001","ENCODE--ChIP-seq","OLR1,ATXN1,ITGB2,UPP1,SERTAD4,VDR,PLEK2,NR1D1,ANXA8,SERPINB8,F2R,CORO6,TMCC3,TLR4,MPP4,KRT13,TBCE,KRT86"
"DEG_LD_SW480","4","0.03390000000000000","ESR1_ECC1_HG19","ESR1","36","554","0.01359000000000000","0.911000","1.5260000000000000","ENCODE--ChIP-seq","FAT2,TEX19,JMJD7-PLA2G4B,KCNE3,ITGB2,TNFRSF18,SYT17,HERC5,KCNK15,TNFSF15,GREB1,IL24,NEDD9,GDA,PLAT,ALPI,SLIT3,SSPN,FMN1,RPS6KL1,ANXA1,TNNC1,CKB,CPM,KLHDC7A,PTGDS,TLN2,KRT13,APBA2,FCGBP,TMEM144,ZC3H14,NR4A3,MCF2L,KLF15,MLPH"
"DEG_LD_SW480","5","0.04237000000000000","FOSL2_SKNSH_HG19","FOSL2","28","412","0.01575000000000000","0.911000","1.6010000000000000","ENCODE--ChIP-seq","ATF3,ADAMTS14,IL31RA,EIF5,S100A3,SHC4,UPP1,ZBED2,SERTAD4,MSMO1,RASGRP3,ISG20,XYLT1,ALCAM,DUS4L,SYTL3,SYTL2,NR1D1,TRIP6,ANXA1,SERPINB8,ANKRD52,MYBPH,F2R,RNF182,PLEKHG4,COG5,MPP4"
"DEG_LD_SW480","6","0.05085000000000000","CTCF_BONEMARROW_MM9","CTCF","93","1688","0.01798000000000000","0.911000","1.2809999999999999","ENCODE--ChIP-seq","ATF3,MEPCE,SFN,VTI1B,BTBD16,PPFIBP2,FASN,GSTO2,TMC6,PTGR2,SLC7A7,AADAT,SLCO3A1,ACAP1,ROR1,FBXO32,ARRB1,NKPD1,TNFRSF18,CPNE8,FBXO6,SLC12A9,PPP1R3B,KCTD12,BST2,ARMC10,SELPLG,CRYBA2,PNMA1,KIF26A,GDA,TTC7B,CNMD,GGT5,FGF13,RND3,LYL1,GATAD1,CYTIP,CAT,PTGES3L,FAM156A,SPOCK1,CNTFR,ACOT2,ST3GAL5,GTF2IRD2,LFNG,ZCWPW1,EDARADD,TIGD2,PLCB2,PHLPP1,OLFML3,ANKRD52,TMEM229B,ATP8A1,CSGALNACT1,RNF43,COL27A1,ANKRD44,MTNR1A,ERH,IGFBP7,RCAN2,TDRD12,MCM7,UFSP1,DUSP10,PHACTR3,ADAMTS7,PLEKHG4,CEBPD,CHADL,NECTIN1,SLC46A3,VIPR1,DPH3,BCL11A,RYR2,SH3PXD2A,EDN1,MATN2,KBTBD8,GALNT10,SPNS2,ARHGAP45,SGO1,STEAP1,CPSF4,ABCD4,GNA13,SLC4A8"
"DEG_LD_SW480","7","0.05932000000000000","TAL1_MEGAKARYOCYTE_MM9","TAL1","42","680","0.01815000000000000","0.911000","1.4460000000000000","ENCODE--ChIP-seq","GMFG,MEPCE,SLC5A3,ACHE,F13A1,RORA,IL1RAP,RINT1,ACAP1,PIWIL4,ITGB2,ARRB1,TRIM58,SYT17,EGR3,MC1R,ECM1,MRPS6,SLC43A3,GDA,GGT5,TFAP2A,LYL1,NAV1,TMEM45A,RBPMS2,HAVCR2,GRAP2,F2R,RAB30,ORC5,WFS1,VWF,KCNJ10,TSC22D4,EDN3,METTL6,SAA1,FAIM2,SPNS2,GNA13,OGFRL1"
"DEG_LD_SW480","8","0.06780000000000000","CEBPB_HCT116_HG19","CEBPB","20","277","0.02077000000000000","0.955000","1.7090000000000001","ENCODE--ChIP-seq","IL31RA,MMP19,FBXO32,SLPI,CLGN,ISG20,CNTN1,BUD31,PDAP1,TIGD2,ANXA1,TNNC1,SERPINB8,PHLPP1,SLC26A4,HMGCS1,MAOB,TRPM6,DTX4,CASP4"
"DEG_LD_SW480","9","0.07627000000000000","TCF12_SKNSH_HG19","TCF12","43","744","0.04263000000000000","1.000000","1.3470000000000000","ENCODE--ChIP-seq","FAM133A,ADAMTS14,IL31RA,DAB2IP,ATXN1,ITGB2,MDK,UPP1,FURIN,PRRX1,MXRA8,ZBED2,SFTPB,SERTAD4,XG,PNPLA3,PCOLCE,RASGRP3,RTP3,LASP1,MRGPRF,XYLT1,SYTL3,ST3GAL5,FMN1,ANXA1,METTL21C,GPNMB,OLFML3,SALL4,RAB30,DAB2,CDK6,EFHB,BNC2,PLEKHG4,CDRT4,PTPN13,MPP4,TGFBI,CASP4,NCAM1,XPNPEP2"
"DEG_LD_SW480","10","0.08475000000000001","NR3C1_ECC1_HG19","NR3C1","14","204","0.06525000000000000","1.000000","1.6180000000000001","ENCODE--ChIP-seq","KCNK15,SLPI,NEDD9,GGT5,CDK15,FMN1,OCA2,ADAMTS8,KLHDC7A,KRT13,ARHGAP45,UPK3B,KLF15,PON2"
"DEG_LD_SW480","11","0.09322000000000000","ZNF263_HEK293_HG19","ZNF263","94","1830","0.06936000000000000","1.000000","1.1890000000000001","ENCODE--ChIP-seq","MTERF1,STARD8,NYAP1,ZNF273,SHOX2,ADAMTS14,ABCA1,PSMG3,DZIP3,TMC8,ZNF239,CHST2,STYXL1,DCBLD2,FAM200A,NUDT17,SLC16A9,SLC16A2,FRMD3,TPST1,DLX3,POMT2,KRIT1,HERC5,RASSF2,EREG,CYP39A1,TMEM63C,RAB27B,ECM1,SYP,SERTAD4,PERP,PCDHB13,ZNF92,RTN1,KCNV1,ISG20,GNB2,RND3,ACOXL,LASP1,HUNK,VGF,RBM24,XYLT1,PRKCG,ZSCAN21,PRR15,XPC,SDSL,GJC3,FLRT3,TTPA,PLEK2,SIVA1,TRIP6,LFNG,RPS6KL1,TET1,ZNF107,WDR17,CARD6,ANKRD63,RNF43,ORC5,CDK6,RNF182,ABLIM3,ZNF501,BET1,SLC46A3,TSHZ2,DPH3,PDE2A,FEZF1,VGLL3,PTGER2,METTL6,APBB1,CAMK1,ZMAT1,TBCE,ULBP2,UPK3B,COL6A3,PON2,GNA13,KLRG2,NCAM1,CADPS,PDX1,SLC4A8,PMP22"
"DEG_LD_SW480","12","0.10170000000000000","STAT2_K562_HG19","STAT2","16","252","0.08846999999999999","1.000000","1.4890000000000001","ENCODE--ChIP-seq","PRAME,HERC5,LGALS9,IFI27,NKAIN1,BST2,ISG20,NAMPT,WDR25,ZNF107,IFITM3,IFITM1,ARRDC4,IFI6,CMPK2,OAS1"
