"Query Name","Rank","Scaled Rank","Set_name","TF","Intersect","Set length","FET p-value","FDR","Odds Ratio","Library","Overlapping_Genes"
"DEG_MD_ALL","1","0.000614300000000000","GLIS1_ARCHS4_PEARSON","GLIS1","13","298","0.00000095850000000","0.001350000000000000","5.9960","ARCHS4--Coexpression","SPARC,OLFML2A,ALDH1L2,ANTXR1,LOXL2,GPR176,COL13A1,EXT1,FKBP10,MTCL1,MRC2,SH3PXD2A,ZNF469"
"DEG_MD_ALL","2","0.001229000000000000","FOXC2_ARCHS4_PEARSON","FOXC2","12","298","0.00000542600000000","0.001350000000000000","5.5150","ARCHS4--Coexpression","SPARC,ALDH1L2,ANTXR1,LOXL2,GPR176,COL13A1,EXT1,FKBP10,MRC2,SH3PXD2A,ZNF469,AXL"
"DEG_MD_ALL","3","0.001843000000000000","TWIST2_ARCHS4_PEARSON","TWIST2","12","298","0.00000542600000000","0.001350000000000000","5.5150","ARCHS4--Coexpression","SPARC,ALDH1L2,ANTXR1,HOXA11,LOXL2,GPR176,PLPP3,EXT1,FKBP10,MRC2,SH3PXD2A,ZNF469"
"DEG_MD_ALL","4","0.002457000000000000","MKX_ARCHS4_PEARSON","MKX","12","298","0.00000542600000000","0.001350000000000000","5.5150","ARCHS4--Coexpression","SPARC,ALDH1L2,ANTXR1,HOXA11,LOXL2,GPR176,EXT1,FKBP10,MTCL1,MRC2,SH3PXD2A,ZNF469"
"DEG_MD_ALL","5","0.003071000000000000","TSHZ3_ARCHS4_PEARSON","TSHZ3","12","299","0.00000561100000000","0.001350000000000000","5.4960","ARCHS4--Coexpression","SPARC,ALDH1L2,ANTXR1,LOXL2,GPR176,KCTD12,EXT1,FKBP10,DYSF,MRC2,SH3PXD2A,ZNF469"
"DEG_MD_ALL","6","0.003686000000000000","OSR2_ARCHS4_PEARSON","OSR2","12","300","0.00000580200000000","0.001350000000000000","5.4770","ARCHS4--Coexpression","SPARC,ALDH1L2,ANTXR1,HOXA11,LOXL2,GPR176,SERPING1,PLPP3,EXT1,FKBP10,MRC2,SH3PXD2A"
"DEG_MD_ALL","7","0.004300000000000000","GLI2_ARCHS4_PEARSON","GLI2","12","300","0.00000580200000000","0.001350000000000000","5.4770","ARCHS4--Coexpression","ANTXR1,LOXL2,GPR176,MAGI1,VASH2,FBN3,EXT1,LIN28A,VANGL2,FKBP10,MRC2,USP44"
"DEG_MD_ALL","8","0.004914000000000000","OSR1_ARCHS4_PEARSON","OSR1","11","297","0.00002765000000000","0.004480000000000000","5.0560","ARCHS4--Coexpression","SPARC,ANTXR1,LOXL2,PLPP3,COL13A1,EXT1,FKBP10,MRC2,SH3PXD2A,ZNF469,GSN"
"DEG_MD_ALL","9","0.005528000000000000","PRRX1_ARCHS4_PEARSON","PRRX1","11","298","0.00002850000000000","0.004480000000000000","5.0380","ARCHS4--Coexpression","SPARC,ALDH1L2,ANTXR1,LOXL2,GPR176,PLPP3,EXT1,FKBP10,MRC2,SH3PXD2A,ZNF469"
"DEG_MD_ALL","10","0.006143000000000000","NFATC4_ARCHS4_PEARSON","NFATC4","11","299","0.00002937000000000","0.004480000000000000","5.0210","ARCHS4--Coexpression","SPARC,ALDH1L2,ANTXR1,LOXL2,GPR176,PLPP3,EXT1,FKBP10,MRC2,SH3PXD2A,ZNF469"
"DEG_MD_ALL","11","0.006757000000000000","SALL2_ARCHS4_PEARSON","SALL2","11","300","0.00003027000000000","0.004480000000000000","5.0030","ARCHS4--Coexpression","GPR176,MAGI1,VASH2,FBN3,HNRNPM,LIN28A,VANGL2,CD24,USP44,PSAT1,HNRNPA2B1"
"DEG_MD_ALL","12","0.007371000000000000","CREB3L1_ARCHS4_PEARSON","CREB3L1","10","297","0.00013440000000000","0.007900000000000001","4.5800","ARCHS4--Coexpression","SPARC,ALDH1L2,ANTXR1,LOXL2,GPR176,EXT1,FKBP10,MRC2,SH3PXD2A,ZNF469"
