"statistic","source","condition","score","p_value"
"ora","AHR","MD_ALL","1.31570198609063738","0.048339039189779019"
"ora","AR","MD_ALL","0.00000000000000000","1.000000000000000000"
"ora","ARID2","MD_ALL","0.00000000000000000","1.000000000000000000"
"ora","ARID3A","MD_ALL","0.00000000000000000","1.000000000000000000"
"ora","ARNT","MD_ALL","0.40056522791524168","0.397589376918131676"
"ora","ARNTL","MD_ALL","0.00000000000000000","1.000000000000000000"
"ora","ASCL1","MD_ALL","0.45309720164307216","0.352292013961862605"
"ora","ATF1","MD_ALL","0.82836241402197530","0.148469616239199742"
"ora","ATF2","MD_ALL","0.00000000000000000","1.000000000000000000"
"ora","ATF3","MD_ALL","0.48005604262063689","0.331088394118341567"
"ora","ATF4","MD_ALL","0.00000000000000000","1.000000000000000000"
"ora","ATF6","MD_ALL","0.00000000000000000","1.000000000000000000"
"ora","ATF7","MD_ALL","0.00000000000000000","1.000000000000000000"
"ora","BACH1","MD_ALL","0.00000000000000000","1.000000000000000000"
"ora","BACH2","MD_ALL","0.00000000000000000","1.000000000000000000"
"ora","BATF","MD_ALL","0.00000000000000000","1.000000000000000000"
"ora","BCL11A","MD_ALL","0.59981319705345637","0.251296710081396868"
"ora","BCL6","MD_ALL","0.00000000000000000","1.000000000000000000"
"ora","BHLHE22","MD_ALL","0.00000000000000000","1.000000000000000000"
"ora","BHLHE40","MD_ALL","1.10442553838554636","0.078627498974395749"
"ora","CDX2","MD_ALL","0.89386870550435826","0.127682475597783451"
"ora","CEBPA","MD_ALL","0.48259075811312635","0.329161658508649868"
"ora","CEBPB","MD_ALL","0.00000000000000000","1.000000000000000000"
"ora","CEBPD","MD_ALL","0.00000000000000000","1.000000000000000000"
"ora","CEBPG","MD_ALL","0.00000000000000000","1.000000000000000000"
"ora","CLOCK","MD_ALL","1.18686057570807346","0.065033843907708971"
"ora","CREB1","MD_ALL","0.91680155945082509","0.121115141401091420"
"ora","CREB3","MD_ALL","0.00000000000000000","1.000000000000000000"
"ora","CREB3L1","MD_ALL","0.80886020621641108","0.155288678371418243"
"ora","CREM","MD_ALL","0.00000000000000000","1.000000000000000000"
"ora","CTCF","MD_ALL","1.16980232046579435","0.067639078079669360"
"ora","CTCFL","MD_ALL","2.03394022358444948","0.009248254584164404"
"ora","CUX1","MD_ALL","1.37107519368591468","0.042552473146276130"
"ora","DUX4","MD_ALL","0.00000000000000000","1.000000000000000000"
"ora","E2F1","MD_ALL","0.03270016078745278","0.927469932544588094"
"ora","E2F2","MD_ALL","0.00000000000000000","1.000000000000000000"
"ora","E2F3","MD_ALL","0.00000000000000000","1.000000000000000000"
"ora","E2F4","MD_ALL","0.06922569174430895","0.852656894863214609"
"ora","E2F5","MD_ALL","0.00000000000000000","1.000000000000000000"
"ora","E2F6","MD_ALL","0.37056576241470768","0.426024168603907460"
"ora","E2F7","MD_ALL","0.66904074771425837","0.214268955367100333"
"ora","EBF1","MD_ALL","0.34378218321758891","0.453124783886355686"
"ora","EGR1","MD_ALL","0.19943352754084645","0.631780871315970716"
"ora","EHF","MD_ALL","0.00000000000000000","1.000000000000000000"
"ora","ELF1","MD_ALL","0.00000000000000000","1.000000000000000000"
"ora","ELF3","MD_ALL","1.17237441628177064","0.067239671607616153"
"ora","ELF5","MD_ALL","0.00000000000000000","1.000000000000000000"
"ora","ELK1","MD_ALL","0.00000000000000000","1.000000000000000000"
"ora","ELK4","MD_ALL","0.00000000000000000","1.000000000000000000"
"ora","EOMES","MD_ALL","0.00000000000000000","1.000000000000000000"
"ora","EPAS1","MD_ALL","0.00000000000000000","1.000000000000000000"
"ora","ERG","MD_ALL","0.00000000000000000","1.000000000000000000"
"ora","ESR1","MD_ALL","1.43420798782430770","0.036795271532881209"
