"Query Name","Rank","TF","Score","Library","Overlapping_Genes"
"DEG_MD_SW480","1","GLIS1","8.00","ARCHS4 Coexpression,15;Enrichr Queries,4;GTEx Coexpression,5","SEMA5A,SPON1,SPARC,NAB2,TNC,RORA,PRDM1,OLFML2A,ANTXR1,LOXL2,NR3C2,LGALS1,ENPP2,GRB10,SYNPO,KIRREL3,OSR2,CADPS2,CCBE1,COL27A1,CLEC11A,CNPY1,EBF3,FOXP1,RUNX1,AR,RFX8,MAF,COL4A2,CD109,PAPPA,DDIT4,COL8A2,STEAP1,PLPP3,ZFPM2,STEAP2,ATF3,DLX2,CEMIP,NXPH4,NTM,HTRA3,TRANK1,TWIST2,GLIS3,KLK3,EFNA5,LTBP1,STC2,PDGFC,PLXNA2,STRA6,TGFB2,PTPRN2,AUTS2,CAV1,COL1A1,EXT1,RCAN2,ITGA10,COL5A2,FAT2,SNAI2,MKX,ULBP1,NRP1,SRPX,ECM1,BNC2,TENM4,PCDHGB5,DYSF,LAMC2,ADM,HOXC11,TRAM2,ROBO1,SHF,SH3PXD2A,TIMP3,EDN1,SORCS2,TGFBR3,MN1,ALDH1A3,COL6A2,KCNMA1,CDH11,GAS1,CDC42EP1,PLCB1,SGK1,MGLL,VGLL3,CHST3,NTN4,THBS1,NT5E,WNT11,CLMP,OLFML3,MAN1C1,SLIT1,LRIG1,SPOCK1,ZNF469,NCAM1,FLNC,CTHRC1,BEND6,EGLN3,PRRX1,GDF15,LAMB2,ZIC5,FMO4,PTPN14,ASS1,PDE10A,KIF26B,VIM,CUL4B"
"DEG_MD_SW480","2","TWIST2","12.50","ARCHS4 Coexpression,12;GTEx Coexpression,13","CCDC71L,SRPX,ECM1,SPARC,PCDHGB5,TNC,ADM,HOXC11,TRAM2,ANTXR1,LOXL2,HOXA11,TMEM47,LGALS1,SH3PXD2A,CHAMP1,CCBE1,OSR2,IGFBP3,CLEC11A,RFX8,CD109,PAPPA,COL6A2,CDH11,GAS1,STEAP1,PLPP3,VGLL3,CEMIP,TNFRSF11B,THBS1,LTBP1,NT5E,CLMP,OLFML3,STC2,HAS2,ZNF469,HOXC8,SRGAP1,SASH1,CTHRC1,GALNT5,PRRX1,LAMB2,CAV1,ATP2B4,COL1A1,EXT1,DAB2,COL5A2,SNAI2,MKX,VIM,NECTIN3,ULBP1,CDK15,CUL4B"
"DEG_MD_SW480","3","ARNT2","16.67","ARCHS4 Coexpression,2;Enrichr Queries,9;GTEx Coexpression,39","SEMA5A,APP,TNC,STMN3,RORA,PLAT,IGF1R,RIMS4,CCND2,ALCAM,KIF5C,DPYSL3,ENPP2,GRB10,LZTS1,KIRREL3,CADPS2,UNC5A,IGFBP3,TPM1,ANK3,MAPK8IP2,HPCAL4,SYTL2,GAREM2,OLFM1,MAF,COL4A2,DAAM2,MAP1B,FEZ1,DDIT4,EEF1A2,SELENOP,KCNQ2,PLPP3,ATF3,BEX4,CEMIP,BRSK2,HPCA,SLC1A2,SLC1A3,LPL,AK5,CPLX2,KALRN,TTBK1,PDZD4,MAP2,STC2,PDGFC,TPPP,APOE,SRGAP3,SCN3B,KIAA0319,TGFB2,PTPRN2,AUTS2,PDE2A,GRIN2B,COL1A1,LHX2,DLG4,RCAN2,TMEM151A,SNAP25,NRP1,CNTNAP1,TENM4,DIRAS1,RASGRF1,DIRAS2,GRIK4,AATK,ADM,SLC7A11,ROBO1,NRGN,SERP2,JPH3,PSD2,CAMKV,TIMP3,PHF24,EDN1,ETV1,SYP,MN1,ALDH1A3,GPRC5B,SNPH,PITPNM3,KCNMA1,CDH11,PLCB1,SGK1,RAPGEF5,MGLL,NLGN3,PLPPR4,KCNA2,NEDD9,ATP1A3,THBS1,GPNMB,LRIG1,CCL2,SPOCK1,NCAM1,ATP9A,CACNG4,NTRK2,KCNJ10,GDF15,B3GAT1,KIAA1549L,FAM131B,APBA1,VIM"
"DEG_MD_SW480","4","ZNF365","21.00","ARCHS4 Coexpression,1;Enrichr Queries,7;GTEx Coexpression,55","SEMA5A,CLSTN2,TNC,STMN3,RORA,PRDM1,LOXL2,CCND2,ALCAM,KIF5C,ENPP2,SCN1B,CADPS2,UNC5A,PRKCB,IGFBP3,TPM1,ACSL6,ANK3,MAPK8IP2,HPCAL4,SYTL2,RUNX1,ADAM19,OLFM1,MAP1B,PAPPA,MAP7D2,DDIT4,EEF1A2,KCNQ2,PLPP3,BEX4,BRSK2,NTM,HPCA,AK5,CABP1,EFNA5,CPLX2,KALRN,LTBP1,TTBK1,PDZD4,ATXN1,MAP2,PLXNA2,TPPP,KIAA0319,TGFB2,PTPRN2,ANKRD24,CAV1,PDE2A,GRIN2B,DLG4,RCAN2,CDK14,TMEM151A,SNAP25,NRP1,CNTNAP1,TENM4,DIRAS1,RASGRF1,DIRAS2,BHLHE41,OTUD7A,AATK,LAMC2,ADM,NRGN,SERP2,TRIM9,JPH3,GDAP1L1,PHF24,TIMP3,EDN1,ETV1,SYP,PGM2L1,TGFBR3,ALDH1A3,RAP2A,FAM234B,SNPH,PITPNM3,KCNMA1,ARHGEF3,PLCB1,SGK1,RAPGEF5,MGLL,PTGER4,CEBPB,PLPPR4,SEMA3A,AMIGO2,KCNA2,PRICKLE2,NRXN3,ATP1A3,HDAC9,THBS1,NT5E,SERTAD4,SLITRK5,CCL2,SPOCK1,FLNC,ATP9A,BEND6,NTRK2,ATRNL1,B3GAT1,KIAA1549L,SYT13,STXBP5L,FAM131B,APBA1"
"DEG_MD_SW480","5","ZBTB18","23.50","ARCHS4 Coexpression,9;GTEx Coexpression,38","SNAP25,CNTNAP1,ATP8A1,DIRAS1,RASGRF1,DIRAS2,AATK,STMN3,NRGN,SHF,TMEM266,TRIM9,RIMS4,PCLO,JPH3,CAMKV,KIF5C,PHF24,SCN1B,LZTS3,CADPS2,TLE2,UNC5A,CNPY1,ETV1,ANK3,SYP,MAPK8IP2,HPCAL4,TIAM1,OLFM1,RAB37,SNPH,PITPNM3,KCNQ2,RAPGEF5,BRSK2,NTM,KCNA2,NRXN3,ATP1A3,AK5,CPLX2,KALRN,TTBK1,PDZD4,MAP2,SPOCK2,CHN2,FGF20,SPOCK1,B4GALNT1,NCAM1,SRGAP3,TPPP,PDZD7,ATP9A,BEND6,B3GAT1,KIAA1549L,ZIC5,STXBP5L,GPR137C,DLG4,FAM131B,FAT2,APBA1,TMEM229B"
"DEG_MD_SW480","6","TWIST1","34.00","ARCHS4 Coexpression,10;Enrichr Queries,53;ReMap ChIP-seq,44;GTEx Coexpression,29","SEMA5A,IFITM1,SPARC,RAB3D,TNC,PLAT,ANTXR1,LOXL2,HOXA11,LGALS1,CCND2,DPYSL3,TBC1D10C,ENPP2,SYNPO,BAHCC1,HES7,CCBE1,OSR2,TLE2,UNC5A,IGFBP3,CLEC11A,TPM1,KCNK15,EBF3,TLE6,RUNX1,RFX8,MYCN,COL4A2,CD109,PAPPA,DDIT4,FSCN1,STEAP1,PLPP3,ATF3,CEMIP,UBA7,HTRA3,SH2D2A,TWIST2,LPL,TNFRSF11B,LTBP1,ATXN1,GJC2,FAM83E,STC2,PDGFC,HOXC8,SRGAP1,PDZD7,STRA6,HEXIM2,TGFB2,CAV1,CGN,IGF1,TMEM198,COL1A1,BMP4,EXT1,DAB2,TH,BAMBI,COL5A2,CORO6,SNAI2,MAFK,MKX,ULBP1,CDK15,TMEM151A,SRPX,NRP1,CNTNAP1,ECM1,ANKRD33B,BNC2,ADM,SLC7A11,PEAR1,HOXC11,TRAM2,LFNG,SH3PXD2A,HYAL1,SPEG,TIMP3,DACT1,EDN1,EMP3,FOXL1,TEX19,MN1,ALDH1A3,B3GNT7,COL6A2,CDH11,CDC42EP1,GAS1,SGK1,VGLL3,RNASEL,CEBPB,AHNAK,CEP295NL,MVP,SEMA3A,CRYBA2,PRICKLE1,THBS1,NT5E,CLMP,SERTAD4,WNT11,GPNMB,OLFML3,HSF4,SLIT1,LRIG1,HAS2,CCL2,SPOCK1,FLNC,CACNG4,CTHRC1,SEMA4A,PRRX1,KCNJ8,GDF15,NOS3,LAMB2,PTPN14,ASS1,KLF2,KLF7,CLCF1,KIF26B,LPCAT2,NOTUM,VIM,INHA,NECTIN3"
"DEG_MD_SW480","7","BHLHE22","40.33","ARCHS4 Coexpression,25;ReMap ChIP-seq,80;GTEx Coexpression,16","ATP8A2,ATP8A1,F13A1,IKZF2,NCMAP,TMEM266,ENDOU,LGALS1,KIF5C,DPYSL3,TBC1D10C,PLXNC1,BAHCC1,ZBP1,UNC5A,PRKCB,TTC7B,CNPY1,BHLHA15,CEL,ANK3,MAPK8IP2,HPCAL4,TIAM1,OLFM1,MAP1B,KCNQ2,DDIT4,DPEP1,ADAM8,ZFPM2,BRSK2,SHMT2,NTM,NXPH4,SH2D2A,SLAIN1,CPLX2,KALRN,PDZD4,PRDX5,MAP2,ADGRG5,LDHD,PLXNA2,B4GALNT1,SRGAP3,TSPAN1,NTSR1,PDZD7,BTBD19,AUTS2,GRIN2B,RPL3L,GPR137C,COL1A1,DLG4,LHX2,TNFSF9,MAFK,CDK14,TMEM151A,SNAP25,CNTNAP1,ANKRD33B,DIRAS1,RASGRF1,DIRAS2,ITGB2,AFF2,SHF,TMEM221,LFNG,TRIM9,PCLO,TUBA1A,CAMKV,GDAP1L1,RAC2,ZNF385C,HS3ST3B1,GPR35,TNFRSF18,UBE2QL1,ETV1,EMP3,SYP,TEX19,LAT2,MN1,B3GNT7,RASA3,IRF8,SELPLG,AHNAK,PPM1L,SLC43A3,CEP295NL,KCNA2,NRXN3,ATP1A3,ADCY7,BEGAIN,MUC1,CYTH4,SPOCK2,CHN2,SLIT1,SPOCK1,SUSD3,NCAM1,ATP9A,BEND6,NOS3,CD70,B3GAT1,ATP2B4,MYBPH,KIAA1549L,ZIC5,STXBP5L,CD4,FAM131B,PMP22,ZNF853,SIGLEC6"
"DEG_MD_SW480","8","PBX1","46.50","Literature ChIP-seq,90;ARCHS4 Coexpression,11;Enrichr Queries,62;GTEx Coexpression,23","APP,CPNE8,IFITM1,SPARC,PPAN,ANTXR2,IKZF2,ALCAM,GJA5,DPYSL3,HOXA3,HOXA2,LGALS9,WLS,EBF3,TM4SF5,ANK3,MAPK8IP2,EML1,HSPG2,TM4SF1,RUNX1,DKK4,AR,TIAM1,BTD,KATNAL2,MAP1B,NINJ2,DDIT4,KCNQ4,PLPP3,MAOB,SHMT2,KALRN,NKAIN1,MAP2,PDGFC,ADAMTS17,ST3GAL5,B4GALNT1,SCN3B,HOXC8,EGR4,FZD7,GREB1,FHDC1,GPR137C,COL1A1,VANGL2,TNFSF4,FAT2,LRRN1,GRAP,CD24,TMEM151A,RYR1,NRP1,SRPX,SYNM,ECM1,TENM4,BHLHE41,OTUD7A,WFDC2,ROBO1,JPH2,ESM1,TUBA1A,HYAL1,RAC2,TIMP3,EDN1,EMP3,SYP,IL17RD,PGM2L1,MN1,GPRC5B,KCNMA1,GAS1,PLCB1,SGK1,MGLL,TLR3,OPRD1,PTGER4,AHNAK,SLC43A3,PTGER2,PTAFR,PRICKLE2,NEDD9,AKAP6,PRICKLE1,KCNA6,CST6,SH3BGRL,CXCR1,GPA33,OLFML3,ADAM23,UCP2,GPC2,DMD,GPC4,FLNC,PCDHB11,FMO4,PCDHB10,PLEKHA8,KITLG,CCL28,FOXA2,TMEM229B,SEMA5A,FOXA1,ATP8A2,CLSTN2,TNC,F13A1,RORA,PLAT,NR3C1,CXCL14,HOXA11,IGF1R,CCND2,DACH1,KIF5C,MPZ,SALL4,GRB10,ZBP1,CADPS2,TLE1,IGFBP3,GPT2,TPM1,TTC7B,TANC2,LEMD1,FOXP1,ADAM19,MAF,COL4A2,SELENOP,COL4A5,UTRN,ABCG1,ZNF793,SHC4,BRSK2,CHRNA7,NTM,SLC1A3,EFNA5,SEZ6L2,LTBP1,CACNA1H,ATXN1,PLXNA2,PDZD7,MARK1,TGFB2,AUTS2,FBXO32,BMP4,COL5A2,TPP1,FGF13,RERE,PIWIL2,PRR5,PCDHGB7,BNC2,SLC2A2,LAMC2,RND2,ELAVL2,TTC28,SPN,SENP7,GDAP1L1,HYDIN,SPEG,ACP5,CA8,NKX3-2,DACT1,BCAS3,GPX2,ADGRV1,DST,UBE2QL1,ETV1,TGFBR3,SETBP1,COL6A2,CDH11,IL1RAPL1,PEX5,C1GALT1C1L,NLGN3,PPM1L,SEMA3A,DNAH5,NRXN3,PBXIP1,HDAC9,THBS1,SPOCK2,LRIG1,NCAM1,ATP9A,VAT1L,NTRK2,CDRT4,SEMA4A,KCNJ8,ATP2B4,SYT13,SLC4A8,FCGR2A,PMP22,S100P,VIM,NAXD,SSBP2,TRMT61A,FSIP2"
"DEG_MD_SW480","9","ZNF488","55.00","ARCHS4 Coexpression,38;Enrichr Queries,72","RAB3B,STMN3,OLFML2A,IFIT1,CLDN1,IFIT3,IFIT2,RIMS4,DPYSL3,CHAC1,CADPS2,UNC5A,IGFBP3,TPM1,ANK3,SHISA2,MAPK8IP2,HPCAL4,SYTL2,OLFM1,DAAM2,MAP1B,DDIT4,KCNQ2,DPEP1,PLPP3,ATF3,BRSK2,SLAIN1,CPLX2,TTBK1,PDZD4,GJC2,STC2,TPPP,TGFB2,PTPRN2,CAV1,FZD7,CGN,FBXO32,BMP4,BAMBI,DLG4,PLXNB3,SNAI2,FGF13,TMEM151A,ITGB4,DIRAS1,DIRAS2,AATK,LAMC2,ADM,SLC7A11,LFNG,JPH3,TIMP3,PHF24,EDN1,ETV1,SYP,PGM2L1,C1QL1,TGFBR3,MN1,ALDH1A3,GPRC5B,OAS1,SNPH,SGK1,RAPGEF5,MGLL,TLR3,MYRF,SEMA3A,PLPPR4,KCNA2,ATP1A3,PRICKLE1,THBS1,RASD2,NEURL1B,NT5E,MVB12B,LRIG1,CCL2,SPOCK1,NCAM1,FLNC,CACNG4,EGLN3,KCNJ10,GDF15,B3GAT1,ASS1,FAM131B"
"DEG_MD_SW480","10","GLI3","56.00","ARCHS4 Coexpression,28;Enrichr Queries,1;GTEx Coexpression,139","SEMA5A,SPARC,GMFG,TNC,RORA,PLAT,OLFML2A,ANTXR2,ANTXR1,IGF1R,LOXL2,HOXA9,LGALS1,CCND2,DACH1,SOX1,DPYSL3,GRB10,SLC16A2,WLS,CCBE1,TLE1,IGFBP3,TPM1,ANK3,EML1,HSPG2,FOXP1,RUNX1,GAREM2,MAF,COL4A2,SMO,CD109,MAP1B,COL4A5,PLPP3,ZFPM2,NOTCH3,FBN3,NTM,TWIST2,GLIS3,SLC1A3,EFNA5,DTX4,LTBP1,CNN3,ATXN1,PDGFC,TGFB2,AUTS2,WSCD1,CAV1,FZD7,IGF1,COL1A1,BMP4,DAB2,VANGL2,LHX2,COL5A2,SNAI2,LRRN1,CDK14,NRP1,PCDHGB7,BNC2,TENM4,MEGF10,SLC7A11,TTC28,ROBO1,TMEM47,MDK,RAC2,TIMP3,AASS,ADGRV1,DST,ETV1,IL17RD,SORCS2,TGFBR3,MN1,SETBP1,IGDCC4,COL6A2,KCNMA1,CDH11,GAS1,PLCB1,SGK1,AHNAK,SEMA3A,PRICKLE2,THBS1,CLMP,GPNMB,OLFML3,SLIT1,LRIG1,NCAM1,GPC4,NTRK2,PRRX1,ATP2B4,ZIC5,PTPN13,PTPN14,PLEKHA8,KITLG,PSAT1,KIF26B,VIM"
