"statistic","source","condition","score","p_value","TF","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","Method_Direction","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"ora","ATF4","HD_ALL","5.34881109586988135","0.000004479080874216928","ATF4","1","trrust","1","5.34881109586988135","0.000004479080874216928",NA,"","4","ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=166); Enrichr--Queries(rank=447); ARCHS4--Coexpression(rank=898)","13","0.00336700000000000","ReMap ChIP-seq,0.003367"
"ora","HOXA10","HD_ALL","4.33685513325760930","0.000046041012605545441","HOXA10","2","trrust","2","4.33685513325760930","0.000046041012605545441",NA,"","3","Enrichr--Queries(rank=203); GTEx--Coexpression(rank=1280); ARCHS4--Coexpression(rank=1281)","544","0.14460000000000001","Enrichr Queries,0.1446"
"ora","MYCN","HD_ALL","3.55566656919951019","0.000278184821983093954","MYCN","3","trrust","3","3.55566656919951019","0.000278184821983093954",NA,"","5","GTEx--Coexpression(rank=63); Literature--ChIP-seq(rank=119); Enrichr--Queries(rank=124); ReMap--ChIP-seq(rank=222); ARCHS4--Coexpression(rank=689)","160","0.03920000000000000","GTEx Coexpression,0.0392"
"ora","TCF3","HD_ALL","3.41724223381436998","0.000382611277005623341","TCF3","4","trrust","4","3.41724223381436998","0.000382611277005623341",NA,"","6","Literature--ChIP-seq(rank=14); ENCODE--ChIP-seq(rank=55); ReMap--ChIP-seq(rank=157); GTEx--Coexpression(rank=179); Enrichr--Queries(rank=446); ARCHS4--Coexpression(rank=1314)","353","0.08537000000000000","Literature ChIP-seq,0.08537"
"ora","CEBPB","HD_ALL","3.21688232662879603","0.000606900748861044742","CEBPB","5","trrust","5","3.21688232662879603","0.000606900748861044742",NA,"","6","ENCODE--ChIP-seq(rank=5); Literature--ChIP-seq(rank=70); ReMap--ChIP-seq(rank=83); Enrichr--Queries(rank=363); GTEx--Coexpression(rank=751); ARCHS4--Coexpression(rank=1069)","171","0.04237000000000000","ENCODE ChIP-seq,0.04237"
"ora","RB1","HD_ALL","3.21273440678956934","0.000612724989730271735","RB1","6","trrust","6","3.21273440678956934","0.000612724989730271735",NA,"","0","",NA,NA,NA
"ora","HDAC3","HD_ALL","3.07157894545624810","0.000848049211215915226","HDAC3","7","trrust","7","3.07157894545624810","0.000848049211215915226",NA,"","0","",NA,NA,NA
"ora","ZNF382","HD_ALL","3.02621432953338187","0.000941424877396725862","ZNF382","8","trrust","8","3.02621432953338187","0.000941424877396725862",NA,"","3","Enrichr--Queries(rank=571); ARCHS4--Coexpression(rank=619); GTEx--Coexpression(rank=1099)","1141","0.38019999999999998","ARCHS4 Coexpression,0.3802"
"ora","FOXM1","HD_ALL","2.98042365034525636","0.001046107581660943265","FOXM1","9","trrust","9","2.98042365034525636","0.001046107581660943265",NA,"","6","GTEx--Coexpression(rank=4); Enrichr--Queries(rank=15); ENCODE--ChIP-seq(rank=39); Literature--ChIP-seq(rank=54); ARCHS4--Coexpression(rank=99); ReMap--ChIP-seq(rank=191)","10","0.00248900000000000","GTEx Coexpression,0.002489"
"ora","MYB","HD_ALL","2.73087781466918411","0.001858327207270742999","MYB","10","trrust","10","2.73087781466918411","0.001858327207270742999",NA,"","6","Enrichr--Queries(rank=17); Literature--ChIP-seq(rank=19); ENCODE--ChIP-seq(rank=97); GTEx--Coexpression(rank=139); ARCHS4--Coexpression(rank=140); ReMap--ChIP-seq(rank=240)","51","0.01211000000000000","Enrichr Queries,0.01211"
"ora","E2F1","HD_ALL","2.63064467676289127","0.002340751569395928267","E2F1","11","trrust","11","2.63064467676289127","0.002340751569395928267",NA,"","6","Enrichr--Queries(rank=3); GTEx--Coexpression(rank=5); ARCHS4--Coexpression(rank=45); ENCODE--ChIP-seq(rank=57); Literature--ChIP-seq(rank=83); ReMap--ChIP-seq(rank=267)","8","0.00213700000000000","Enrichr Queries,0.002137"
"ora","CDX1","HD_ALL","2.26563414358800141","0.005424576727370438584","CDX1","12","trrust","12","2.26563414358800141","0.005424576727370438584",NA,"","3","ARCHS4--Coexpression(rank=17); GTEx--Coexpression(rank=203); Enrichr--Queries(rank=237)","45","0.01044000000000000","ARCHS4 Coexpression,0.01044"
"ora","FOS","HD_ALL","2.20386226894162984","0.006253709899112560970","FOS","13","trrust","13","2.20386226894162984","0.006253709899112560970",NA,"","5","ENCODE--ChIP-seq(rank=43); ReMap--ChIP-seq(rank=52); GTEx--Coexpression(rank=189); Enrichr--Queries(rank=758); ARCHS4--Coexpression(rank=940)","463","0.11760000000000000","GTEx Coexpression,0.1176"
"ora","PARP1","HD_ALL","2.18763053731367529","0.006491864741450986513","PARP1","14","trrust","14","2.18763053731367529","0.006491864741450986513",NA,"","0","",NA,NA,NA
"ora","SMAD4","HD_ALL","2.11238985986229544","0.007719872721677489488","SMAD4","15","trrust","15","2.11238985986229544","0.007719872721677489488",NA,"","5","Literature--ChIP-seq(rank=29); ReMap--ChIP-seq(rank=91); Enrichr--Queries(rank=983); GTEx--Coexpression(rank=1115); ARCHS4--Coexpression(rank=1589)","641","0.17680000000000001","Literature ChIP-seq,0.1768"
"ora","ESRRA","HD_ALL","2.10551303706379711","0.007843085744096697093","ESRRA","16","trrust","16","2.10551303706379711","0.007843085744096697093",NA,"","5","ENCODE--ChIP-seq(rank=78); ReMap--ChIP-seq(rank=115); ARCHS4--Coexpression(rank=409); Enrichr--Queries(rank=991); GTEx--Coexpression(rank=1424)","845","0.25119999999999998","ARCHS4 Coexpression,0.2512"
"ora","HOXA9","HD_ALL","2.10551303706379711","0.007843085744096697093","HOXA9","17","trrust","17","2.10551303706379711","0.007843085744096697093",NA,"","4","ARCHS4--Coexpression(rank=203); GTEx--Coexpression(rank=208); ReMap--ChIP-seq(rank=223); Enrichr--Queries(rank=498)","483","0.12470000000000001","ARCHS4 Coexpression,0.1247"
"ora","DDIT3","HD_ALL","1.99851256147483869","0.010034308256306584059","DDIT3","18","trrust","18","1.99851256147483869","0.010034308256306584059",NA,"","3","Enrichr--Queries(rank=89); ARCHS4--Coexpression(rank=412); GTEx--Coexpression(rank=714)","254","0.06339000000000000","Enrichr Queries,0.06339"
