"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR","CollecTRI"
"1","EGR1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","53.66666666666667","8","6","Literature--ChIP-seq(rank=5); ENCODE--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=113); GTEx--Coexpression(rank=244); Enrichr--Queries(rank=265); ARCHS4--Coexpression(rank=501)","140","rank=140; score=0.03049","rank=13; score=134.64; p=2.8542e-36; adjP=5.4015e-34","rank=8; score=3.8431; p=0.00012147; direction=Activated"
"2","ZBTB7A","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","60.66666666666666","22","5","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=12); GTEx--Coexpression(rank=295); ARCHS4--Coexpression(rank=550); Enrichr--Queries(rank=878)","77","rank=77; score=0.01695","rank=22; score=8.932; p=0.00062985; adjP=0.08118","rank=83; score=2.6435; p=0.0082054; direction=Activated"
"3","MEIS1","ChEA3;ENRICHR;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","61.33333333333334","23","5","Enrichr--Queries(rank=36); Literature--ChIP-seq(rank=49); GTEx--Coexpression(rank=210); ReMap--ChIP-seq(rank=241); ARCHS4--Coexpression(rank=776)","117","rank=117; score=0.02564","rank=23; score=20.605; p=3.4269e-07; adjP=1.4909e-06","rank=44; score=3.0363; p=0.0023946; direction=Activated"
"4","PGR","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","68.33333333333333","38","4","GTEx--Coexpression(rank=26); ReMap--ChIP-seq(rank=64); ARCHS4--Coexpression(rank=278); Enrichr--Queries(rank=568)","72","rank=72; score=0.01618","rank=95; score=17.664; p=0.0018799; adjP=0.0036677","rank=38; score=3.0903; p=0.0019995; direction=Activated"
"5","SOX2","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","82.33333333333334","4","5","Literature--ChIP-seq(rank=1); ARCHS4--Coexpression(rank=165); ReMap--ChIP-seq(rank=217); GTEx--Coexpression(rank=269); Enrichr--Queries(rank=351)","28","rank=28; score=0.006098","rank=4; score=377; p=5.3912e-66; adjP=4.0811e-63","rank=215; score=1.6335; p=0.10236; direction=Activated"
"6","STAT1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","86.66666666666667","10","6","ENCODE--ChIP-seq(rank=15); ReMap--ChIP-seq(rank=16); ARCHS4--Coexpression(rank=79); Literature--ChIP-seq(rank=153); Enrichr--Queries(rank=421); GTEx--Coexpression(rank=925)","211","rank=211; score=0.04853","rank=39; score=14.973; p=5.0242e-06; adjP=1.6528e-05","rank=10; score=3.7442; p=0.00018099; direction=Activated"
"7","RUNX2","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","87.33333333333333","48","5","ReMap--ChIP-seq(rank=7); Enrichr--Queries(rank=14); Literature--ChIP-seq(rank=30); GTEx--Coexpression(rank=98); ARCHS4--Coexpression(rank=122)","48","rank=48; score=0.009972","rank=132; score=46.545; p=1.3931e-14; adjP=2.2438e-13","rank=82; score=2.6562; p=0.0079035; direction=Activated"
"8","SMAD3","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","87.66666666666666","2","5","ReMap--ChIP-seq(rank=15); Literature--ChIP-seq(rank=43); Enrichr--Queries(rank=184); GTEx--Coexpression(rank=203); ARCHS4--Coexpression(rank=362)","219","rank=219; score=0.05051","rank=2; score=38.906; p=5.2958e-12; adjP=5.2064e-11","rank=42; score=3.0416; p=0.0023535; direction=Activated"
"9","AR","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","88.00000000000000","16","5","Literature--ChIP-seq(rank=8); ReMap--ChIP-seq(rank=105); ARCHS4--Coexpression(rank=154); Enrichr--Queries(rank=277); GTEx--Coexpression(rank=598)","213","rank=213; score=0.04878","rank=16; score=65.08; p=4.3481e-19; adjP=1.135e-17","rank=35; score=3.1575; p=0.0015912; direction=Activated"
"10","FOXD3","ChEA3;ENRICHR;CollecTRI","4","ChEA3;ENRICHR;TRRUST;CollecTRI","99.33333333333333","36","3","GTEx--Coexpression(rank=50); Enrichr--Queries(rank=529); ARCHS4--Coexpression(rank=642)","143","rank=143; score=0.03111","rank=119; score=32.39; p=0.0091967; adjP=0.11776","rank=36; score=3.0994; p=0.0019393; direction=Activated"
