"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR","CollecTRI"
"1","TFDP1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","23.33333333333333","6","4","Enrichr--Queries(rank=2); ReMap--ChIP-seq(rank=164); ARCHS4--Coexpression(rank=663); GTEx--Coexpression(rank=1332)","6","rank=6; score=0.001425","rank=54; score=69.22; p=0.047944; adjP=0.18614","rank=10; score=3.1017; p=0.0019243; direction=Repressed"
"2","STAT2","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","35.33333333333334","8","5","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=68); Enrichr--Queries(rank=128); ARCHS4--Coexpression(rank=185); GTEx--Coexpression(rank=315)","79","rank=79; score=0.01695","rank=8; score=17.987; p=0.010759; adjP=0.45671","rank=19; score=2.609; p=0.0090805; direction=Activated"
"3","ESR2","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","44.66666666666666","17","5","Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=107); GTEx--Coexpression(rank=323); Enrichr--Queries(rank=410); ARCHS4--Coexpression(rank=865)","56","rank=56; score=0.0122","rank=17; score=36.761; p=0.00047056; adjP=0.061556","rank=61; score=1.8746; p=0.060852; direction=Activated"
"4","ESR1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","56.00000000000000","1","6","Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=9); Enrichr--Queries(rank=189); ARCHS4--Coexpression(rank=547); GTEx--Coexpression(rank=703)","15","rank=15; score=0.003367","rank=1; score=50.981; p=0.00045516; adjP=0.061556","rank=152; score=1.4266; p=0.15371; direction=Activated"
"5","RUNX2","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","57.66666666666666","28","5","GTEx--Coexpression(rank=18); Literature--ChIP-seq(rank=20); ReMap--ChIP-seq(rank=131); Enrichr--Queries(rank=385); ARCHS4--Coexpression(rank=412)","52","rank=52; score=0.0112","rank=93; score=8.2587; p=0.011356; adjP=0.30433","rank=28; score=2.2935; p=0.02182; direction=Activated"
"6","SOX9","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","65.00000000000000","16","5","ReMap--ChIP-seq(rank=3); Literature--ChIP-seq(rank=46); ARCHS4--Coexpression(rank=48); Enrichr--Queries(rank=431); GTEx--Coexpression(rank=766)","47","rank=47; score=0.0101","rank=132; score=14.77; p=0.13285; adjP=0.22683","rank=16; score=2.763; p=0.0057277; direction=Activated"
"7","GATA1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","80.66666666666667","16","6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=37); ReMap--ChIP-seq(rank=188); GTEx--Coexpression(rank=580); ARCHS4--Coexpression(rank=701); Enrichr--Queries(rank=1188)","86","rank=86; score=0.01829","rank=16; score=80.605; p=0.0077021; adjP=0.18614","rank=140; score=1.476; p=0.13995; direction=Activated"
"8","MYC","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","86.33333333333333","12","6","Literature--ChIP-seq(rank=14); ReMap--ChIP-seq(rank=29); ENCODE--ChIP-seq(rank=34); Enrichr--Queries(rank=48); GTEx--Coexpression(rank=521); ARCHS4--Coexpression(rank=1283)","159","rank=159; score=0.03419","rank=88; score=10.308; p=0.0098361; adjP=0.19857","rank=12; score=3.0716; p=0.0021294; direction=Repressed"
"9","TFAP2A","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","90.33333333333333","57","6","GTEx--Coexpression(rank=20); ENCODE--ChIP-seq(rank=31); Literature--ChIP-seq(rank=86); ReMap--ChIP-seq(rank=257); ARCHS4--Coexpression(rank=323); Enrichr--Queries(rank=399)","57","rank=57; score=0.01245","rank=125; score=7.2662; p=0.20245; adjP=0.45671","rank=89; score=1.707; p=0.087813; direction=Activated"
"10","GATA3","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","97.33333333333333","20","6","ENCODE--ChIP-seq(rank=5); GTEx--Coexpression(rank=7); Literature--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=83); Enrichr--Queries(rank=165); ARCHS4--Coexpression(rank=720)","20","rank=20; score=0.004356","rank=60; score=8.9299; p=0.012767; adjP=0.30433","rank=212; score=1.2383; p=0.21559; direction=Activated"
