"statistic","source","condition","score","p_value","TF","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","Method_Direction","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"ora","STAT1","LD_ALL","4.0442569320735808","0.00009031150256057726","STAT1","1","dorothea","1","4.0442569320735808","0.00009031150256057726",NA,"","6","ENCODE--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=52); Literature--ChIP-seq(rank=137); Enrichr--Queries(rank=166); ARCHS4--Coexpression(rank=179); GTEx--Coexpression(rank=1258)","490","0.11000000000000000","ARCHS4 Coexpression,0.11"
"ora","NFE2","LD_ALL","2.7742575276670234","0.00168167656584693463","NFE2","2","dorothea","2","2.7742575276670234","0.00168167656584693463",NA,"","5","ENCODE--ChIP-seq(rank=86); ReMap--ChIP-seq(rank=152); Enrichr--Queries(rank=297); ARCHS4--Coexpression(rank=333); GTEx--Coexpression(rank=602)","798","0.20449999999999999","ARCHS4 Coexpression,0.2045"
"ora","NANOG","LD_ALL","2.7483552219814156","0.00178502695256783960","NANOG","3","dorothea","3","2.7483552219814156","0.00178502695256783960",NA,"","6","Literature--ChIP-seq(rank=25); ENCODE--ChIP-seq(rank=118); GTEx--Coexpression(rank=145); ReMap--ChIP-seq(rank=219); Enrichr--Queries(rank=249); ARCHS4--Coexpression(rank=602)","409","0.09023000000000000","GTEx Coexpression,0.09023"
"ora","ZNF263","LD_ALL","2.3277457130798385","0.00470169320284410767","ZNF263","4","dorothea","4","2.3277457130798385","0.00470169320284410767",NA,"","6","ENCODE--ChIP-seq(rank=54); Literature--ChIP-seq(rank=81); ReMap--ChIP-seq(rank=183); GTEx--Coexpression(rank=417); Enrichr--Queries(rank=828); ARCHS4--Coexpression(rank=1306)","945","0.25950000000000001","GTEx Coexpression,0.2595"
"ora","MXI1","LD_ALL","2.1923980919145403","0.00642098873641506161","MXI1","5","dorothea","5","2.1923980919145403","0.00642098873641506161",NA,"","5","ENCODE--ChIP-seq(rank=50); ReMap--ChIP-seq(rank=57); Enrichr--Queries(rank=644); ARCHS4--Coexpression(rank=1083); GTEx--Coexpression(rank=1525)","759","0.19189999999999999","ReMap ChIP-seq,0.1919"
"ora","LYL1","LD_ALL","2.0882700533647482","0.00816074761250352824","LYL1","6","dorothea","6","2.0882700533647482","0.00816074761250352824",NA,"","5","ReMap--ChIP-seq(rank=124); Literature--ChIP-seq(rank=141); Enrichr--Queries(rank=534); GTEx--Coexpression(rank=552); ARCHS4--Coexpression(rank=636)","1150","0.34350000000000003","GTEx Coexpression,0.3435"
"ora","PPARA","LD_ALL","1.9700995528825471","0.01071273710106497579","PPARA","7","dorothea","7","1.9700995528825471","0.01071273710106497579",NA,"","3","GTEx--Coexpression(rank=873); Enrichr--Queries(rank=1021); ARCHS4--Coexpression(rank=1024)","1432","0.54320000000000002","GTEx Coexpression,0.5432"
"ora","SMAD3","LD_ALL","1.9443239997631041","0.01136778890254548993","SMAD3","8","dorothea","8","1.9443239997631041","0.01136778890254548993",NA,"","5","Literature--ChIP-seq(rank=21); ReMap--ChIP-seq(rank=50); ARCHS4--Coexpression(rank=496); Enrichr--Queries(rank=667); GTEx--Coexpression(rank=946)","558","0.12800000000000000","Literature ChIP-seq,0.128"
"ora","MYC","LD_ALL","1.9271031351817551","0.01182760643292687583","MYC","9","dorothea","9","1.9271031351817551","0.01182760643292687583",NA,"","6","Literature--ChIP-seq(rank=14); ReMap--ChIP-seq(rank=29); ENCODE--ChIP-seq(rank=34); Enrichr--Queries(rank=48); GTEx--Coexpression(rank=521); ARCHS4--Coexpression(rank=1283)","159","0.03419000000000000","Enrichr Queries,0.03419"
"ora","HNF1B","LD_ALL","1.7844855619582938","0.01642534264522289844","HNF1B","10","dorothea","10","1.7844855619582938","0.01642534264522289844",NA,"","3","ARCHS4--Coexpression(rank=64); ReMap--ChIP-seq(rank=262); Enrichr--Queries(rank=592)","185","0.03931000000000000","ARCHS4 Coexpression,0.03931"
