"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","TRRUST","CollecTRI"
"1","E2F4","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.000000000000000","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=28); Enrichr--Queries(rank=432); ARCHS4--Coexpression(rank=896); GTEx--Coexpression(rank=1406)","20","rank=1; score=24.651; p=2.2327e-25","rank=1; score=9.7365; p=1.8343e-10","rank=1; score=9.5484; p=1.3172e-21; direction=Repressed"
"2","E2F1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","2.333333333333333","2","6","ENCODE--ChIP-seq(rank=3); GTEx--Coexpression(rank=6); Enrichr--Queries(rank=7); Literature--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=59); ARCHS4--Coexpression(rank=65)","14","rank=2; score=11.422; p=3.7811e-12","rank=3; score=6.7032; p=1.9807e-07","rank=2; score=4.2288; p=2.3495e-05; direction=Repressed"
"3","TFDP1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.666666666666667","2","4","GTEx--Coexpression(rank=3); Enrichr--Queries(rank=15); ARCHS4--Coexpression(rank=21); ReMap--ChIP-seq(rank=73)","5","rank=3; score=6.3165; p=4.8254e-07","rank=2; score=7.0976; p=7.9882e-08","rank=9; score=3.5113; p=0.000446; direction=Repressed"
"4","MYC","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","11.666666666666666","7","6","Literature--ChIP-seq(rank=35); ENCODE--ChIP-seq(rank=43); ReMap--ChIP-seq(rank=50); Enrichr--Queries(rank=98); ARCHS4--Coexpression(rank=977); GTEx--Coexpression(rank=1364)","279","rank=7; score=4.9671; p=1.0786e-05","rank=14; score=2.383; p=0.0041397","rank=14; score=3.4123; p=0.00064415; direction=Repressed"
"5","FOSL2","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","33.000000000000000","17","5","ENCODE--ChIP-seq(rank=16); ReMap--ChIP-seq(rank=35); Enrichr--Queries(rank=381); GTEx--Coexpression(rank=535); ARCHS4--Coexpression(rank=564)","444","rank=48; score=1.0658; p=0.085948","rank=34; score=1.4431; p=0.036048","rank=17; score=3.2409; p=0.0011917; direction=Activated"
"6","SMAD3","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","44.000000000000000","12","5","Literature--ChIP-seq(rank=27); ReMap--ChIP-seq(rank=65); ARCHS4--Coexpression(rank=342); Enrichr--Queries(rank=367); GTEx--Coexpression(rank=402)","601","rank=26; score=1.6414; p=0.022833","rank=94; score=0.69842; p=0.20025","rank=12; score=3.4528; p=0.00055478; direction=Activated"
"7","RARA","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","46.666666666666664","21","5","ReMap--ChIP-seq(rank=40); Literature--ChIP-seq(rank=72); Enrichr--Queries(rank=523); ARCHS4--Coexpression(rank=640); GTEx--Coexpression(rank=1014)","507","rank=21; score=1.9693; p=0.010732","rank=38; score=1.4144; p=0.038515","rank=81; score=2.0036; p=0.045115; direction=Activated"
"8","SMAD4","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","51.000000000000000","6","5","Literature--ChIP-seq(rank=56); ReMap--ChIP-seq(rank=192); Enrichr--Queries(rank=1262); ARCHS4--Coexpression(rank=1311); GTEx--Coexpression(rank=1601)","992","rank=67; score=0.82373; p=0.15006","rank=80; score=0.85943; p=0.13822","rank=6; score=3.7595; p=0.00017027; direction=Activated"
"9","SREBF1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","60.333333333333336","18","6","ENCODE--ChIP-seq(rank=59); GTEx--Coexpression(rank=84); ReMap--ChIP-seq(rank=98); Literature--ChIP-seq(rank=152); Enrichr--Queries(rank=215); ARCHS4--Coexpression(rank=658)","202","rank=18; score=2.3116; p=0.0048793","rank=42; score=1.3616; p=0.043487","rank=121; score=1.7381; p=0.082189; direction=Repressed"
"10","STAT4","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","60.666666666666664","49","4","Literature--ChIP-seq(rank=139); Enrichr--Queries(rank=927); GTEx--Coexpression(rank=1314); ARCHS4--Coexpression(rank=1424)","1462","rank=49; score=1.0658; p=0.085948","rank=70; score=0.99277; p=0.10168","rank=63; score=2.221; p=0.026351; direction=Activated"
