"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ENRICHR","TRRUST","CollecTRI"
"1","E2F4","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.000000000000000","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=28); Enrichr--Queries(rank=432); ARCHS4--Coexpression(rank=896); GTEx--Coexpression(rank=1406)","20","rank=1; score=470.57; p=1.7344e-37; adjP=1.8038e-35","rank=1; score=9.7365; p=1.8343e-10","rank=1; score=9.5484; p=1.3172e-21; direction=Repressed"
"2","E2F1","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.333333333333333","2","6","ENCODE--ChIP-seq(rank=3); GTEx--Coexpression(rank=6); Enrichr--Queries(rank=7); Literature--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=59); ARCHS4--Coexpression(rank=65)","14","rank=8; score=61.899; p=3.4353e-08; adjP=1.7154e-06","rank=3; score=6.7032; p=1.9807e-07","rank=2; score=4.2288; p=2.3495e-05; direction=Repressed"
"3","TFDP1","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","5.000000000000000","2","4","GTEx--Coexpression(rank=3); Enrichr--Queries(rank=15); ARCHS4--Coexpression(rank=21); ReMap--ChIP-seq(rank=73)","5","rank=4; score=730.3; p=7.9871e-08; adjP=1.4976e-05","rank=2; score=7.0976; p=7.9882e-08","rank=9; score=3.5113; p=0.000446; direction=Repressed"
"4","MYC","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.000000000000000","2","6","Literature--ChIP-seq(rank=35); ENCODE--ChIP-seq(rank=43); ReMap--ChIP-seq(rank=50); Enrichr--Queries(rank=98); ARCHS4--Coexpression(rank=977); GTEx--Coexpression(rank=1364)","279","rank=2; score=22.021; p=1.3461e-05; adjP=0.0030287","rank=14; score=2.383; p=0.0041397","rank=14; score=3.4123; p=0.00064415; direction=Repressed"
"5","EZH2","ENRICHR;TRRUST;CollecTRI","3","ENRICHR;TRRUST;CollecTRI","17.666666666666668","11","0","",NA,"rank=12; score=32.055; p=8.2134e-09; adjP=1.6755e-06","rank=11; score=2.4769; p=0.0033354","rank=30; score=2.731; p=0.0063142; direction=Activated"
"6","FOSL2","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","40.333333333333336","17","5","ENCODE--ChIP-seq(rank=16); ReMap--ChIP-seq(rank=35); Enrichr--Queries(rank=381); GTEx--Coexpression(rank=535); ARCHS4--Coexpression(rank=564)","444","rank=70; score=15.838; p=0.0080625; adjP=0.25154","rank=34; score=1.4431; p=0.036048","rank=17; score=3.2409; p=0.0011917; direction=Activated"
"7","SMAD4","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","44.000000000000000","6","5","Literature--ChIP-seq(rank=56); ReMap--ChIP-seq(rank=192); Enrichr--Queries(rank=1262); ARCHS4--Coexpression(rank=1311); GTEx--Coexpression(rank=1601)","992","rank=46; score=9.4549; p=0.001058; adjP=0.0063906","rank=80; score=0.85943; p=0.13822","rank=6; score=3.7595; p=0.00017027; direction=Activated"
"8","FOXM1","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","48.666666666666664","11","6","ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=4); GTEx--Coexpression(rank=5); Enrichr--Queries(rank=6); ARCHS4--Coexpression(rank=30); ReMap--ChIP-seq(rank=46)","10","rank=11; score=48.624; p=9.0052e-10; adjP=8.4311e-08","rank=47; score=1.3006; p=0.050054","rank=88; score=1.9411; p=0.052245; direction=Repressed"
"9","STAT1","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","51.666666666666664","47","6","ENCODE--ChIP-seq(rank=14); GTEx--Coexpression(rank=17); Literature--ChIP-seq(rank=129); ReMap--ChIP-seq(rank=160); Enrichr--Queries(rank=614); ARCHS4--Coexpression(rank=656)","40","rank=54; score=24.614; p=9.2171e-08; adjP=3.8353e-06","rank=54; score=1.2338; p=0.058367","rank=47; score=2.4863; p=0.012907; direction=Activated"
"10","ATF4","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","57.000000000000000","23","4","ReMap--ChIP-seq(rank=256); GTEx--Coexpression(rank=588); Enrichr--Queries(rank=914); ARCHS4--Coexpression(rank=1223)","1040","rank=120; score=11.285; p=0.028792; adjP=0.25154","rank=28; score=1.5407; p=0.028793","rank=23; score=3.021; p=0.0025197; direction=Activated"
