"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","ENRICHR","TRRUST","CollecTRI"
"1","E2F4","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.2","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=28); Enrichr--Queries(rank=432); ARCHS4--Coexpression(rank=896); GTEx--Coexpression(rank=1406)","20","rank=1; score=24.651; p=2.2327e-25","rank=2; score=8.6716; direction=Repressed","rank=1; score=470.57; p=1.7344e-37; adjP=1.8038e-35","rank=1; score=9.7365; p=1.8343e-10","rank=1; score=9.5484; p=1.3172e-21; direction=Repressed"
"2","E2F1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","5.4","2","6","ENCODE--ChIP-seq(rank=3); GTEx--Coexpression(rank=6); Enrichr--Queries(rank=7); Literature--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=59); ARCHS4--Coexpression(rank=65)","14","rank=2; score=11.422; p=3.7811e-12","rank=12; score=5.1823; direction=Repressed","rank=8; score=61.899; p=3.4353e-08; adjP=1.7154e-06","rank=3; score=6.7032; p=1.9807e-07","rank=2; score=4.2288; p=2.3495e-05; direction=Repressed"
"3","TFDP1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","5.8","2","4","GTEx--Coexpression(rank=3); Enrichr--Queries(rank=15); ARCHS4--Coexpression(rank=21); ReMap--ChIP-seq(rank=73)","5","rank=3; score=6.3165; p=4.8254e-07","rank=11; score=5.4059; direction=Repressed","rank=4; score=730.3; p=7.9871e-08; adjP=1.4976e-05","rank=2; score=7.0976; p=7.9882e-08","rank=9; score=3.5113; p=0.000446; direction=Repressed"
"4","MYC","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.6","2","6","Literature--ChIP-seq(rank=35); ENCODE--ChIP-seq(rank=43); ReMap--ChIP-seq(rank=50); Enrichr--Queries(rank=98); ARCHS4--Coexpression(rank=977); GTEx--Coexpression(rank=1364)","279","rank=7; score=4.9671; p=1.0786e-05","rank=16; score=4.6627; direction=Repressed","rank=2; score=22.021; p=1.3461e-05; adjP=0.0030287","rank=14; score=2.383; p=0.0041397","rank=14; score=3.4123; p=0.00064415; direction=Repressed"
"5","SMAD4","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","45.8","6","5","Literature--ChIP-seq(rank=56); ReMap--ChIP-seq(rank=192); Enrichr--Queries(rank=1262); ARCHS4--Coexpression(rank=1311); GTEx--Coexpression(rank=1601)","992","rank=67; score=0.82373; p=0.15006","rank=30; score=3.6835; direction=Activated","rank=46; score=9.4549; p=0.001058; adjP=0.0063906","rank=80; score=0.85943; p=0.13822","rank=6; score=3.7595; p=0.00017027; direction=Activated"
"6","SMAD3","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","51.0","12","5","Literature--ChIP-seq(rank=27); ReMap--ChIP-seq(rank=65); ARCHS4--Coexpression(rank=342); Enrichr--Queries(rank=367); GTEx--Coexpression(rank=402)","601","rank=26; score=1.6414; p=0.022833","rank=22; score=4.2664; direction=Activated","rank=101; score=10.302; p=0.00075939; adjP=0.0049321","rank=94; score=0.69842; p=0.20025","rank=12; score=3.4528; p=0.00055478; direction=Activated"
"7","EGR1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","60.4","18","6","Literature--ChIP-seq(rank=8); ENCODE--ChIP-seq(rank=27); ReMap--ChIP-seq(rank=31); Enrichr--Queries(rank=188); GTEx--Coexpression(rank=217); ARCHS4--Coexpression(rank=953)","187","rank=32; score=1.3362; p=0.046112","rank=66; score=2.4632; direction=Activated","rank=18; score=35.374; p=1.5536e-10; adjP=1.9394e-08","rank=83; score=0.8233; p=0.15021","rank=103; score=1.8537; p=0.063786; direction=Activated"
"8","E2F6","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","61.0","6","5","ENCODE--ChIP-seq(rank=11); ReMap--ChIP-seq(rank=13); Enrichr--Queries(rank=166); ARCHS4--Coexpression(rank=419); GTEx--Coexpression(rank=1168)","169","rank=25; score=1.6718; p=0.021289","rank=39; score=3.2012; direction=Repressed","rank=6; score=79.956; p=8.5662e-07; adjP=4.4544e-05","rank=12; score=2.4274; p=0.0037373","rank=223; score=1.3921; p=0.16388; direction=Repressed"
"9","STAT1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","61.0","44","6","ENCODE--ChIP-seq(rank=14); GTEx--Coexpression(rank=17); Literature--ChIP-seq(rank=129); ReMap--ChIP-seq(rank=160); Enrichr--Queries(rank=614); ARCHS4--Coexpression(rank=656)","40","rank=106; score=0.54859; p=0.28276","rank=44; score=2.9074; direction=Activated","rank=54; score=24.614; p=9.2171e-08; adjP=3.8353e-06","rank=54; score=1.2338; p=0.058367","rank=47; score=2.4863; p=0.012907; direction=Activated"
"10","SREBF1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","66.0","18","6","ENCODE--ChIP-seq(rank=59); GTEx--Coexpression(rank=84); ReMap--ChIP-seq(rank=98); Literature--ChIP-seq(rank=152); Enrichr--Queries(rank=215); ARCHS4--Coexpression(rank=658)","202","rank=18; score=2.3116; p=0.0048793","rank=31; score=3.66; direction=Repressed","rank=118; score=10.4; p=0.043486; adjP=0.25154","rank=42; score=1.3616; p=0.043487","rank=121; score=1.7381; p=0.082189; direction=Repressed"
