"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR","TRRUST"
"1","REST","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","18.66666666666667","8","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=8); GTEx--Coexpression(rank=11); ReMap--ChIP-seq(rank=21); ARCHS4--Coexpression(rank=356); Enrichr--Queries(rank=1270)","30","rank=30; score=0.006845","rank=8; score=23.534; p=7.7008e-07; adjP=1.9278e-05","rank=18; score=1.864; p=0.013678"
"2","KLF4","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","22.66666666666667","6","5","GTEx--Coexpression(rank=16); Literature--ChIP-seq(rank=51); ARCHS4--Coexpression(rank=126); ReMap--ChIP-seq(rank=155); Enrichr--Queries(rank=414)","42","rank=42; score=0.009956","rank=20; score=28.183; p=0.0019131; adjP=0.017441","rank=6; score=2.7183; p=0.0019131"
"3","TP63","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","46.33333333333334","15","5","Literature--ChIP-seq(rank=17); Enrichr--Queries(rank=21); GTEx--Coexpression(rank=55); ReMap--ChIP-seq(rank=70); ARCHS4--Coexpression(rank=307)","68","rank=68; score=0.01496","rank=15; score=21.905; p=6.4606e-07; adjP=1.7328e-05","rank=56; score=0.83647; p=0.14572"
"4","SOX2","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","57.33333333333334","17","5","Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=118); GTEx--Coexpression(rank=221); ARCHS4--Coexpression(rank=400); Enrichr--Queries(rank=557)","54","rank=54; score=0.0122","rank=17; score=45.967; p=3.7536e-11; adjP=1.8793e-09","rank=101; score=0.58092; p=0.26247"
"5","TFAP2A","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","70.33333333333333","31","6","GTEx--Coexpression(rank=52); ENCODE--ChIP-seq(rank=71); ReMap--ChIP-seq(rank=75); Literature--ChIP-seq(rank=85); ARCHS4--Coexpression(rank=215); Enrichr--Queries(rank=656)","148","rank=148; score=0.03236","rank=32; score=7.3942; p=0.041173; adjP=0.33865","rank=31; score=1.3854; p=0.041173"
"6","ASCL1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","71.33333333333333","27","4","GTEx--Coexpression(rank=32); ReMap--ChIP-seq(rank=77); Enrichr--Queries(rank=228); ARCHS4--Coexpression(rank=1312)","90","rank=90; score=0.01991","rank=97; score=27.899; p=0.03691; adjP=0.33865","rank=27; score=1.4329; p=0.03691"
"7","SMAD4","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","78.33333333333333","29","5","Literature--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=40); GTEx--Coexpression(rank=1094); Enrichr--Queries(rank=1366); ARCHS4--Coexpression(rank=1571)","83","rank=83; score=0.01829","rank=29; score=44.014; p=5.1822e-11; adjP=2.4324e-09","rank=123; score=0.48104; p=0.33034"
"8","WT1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","85.33333333333333","19","4","Literature--ChIP-seq(rank=6); GTEx--Coexpression(rank=249); Enrichr--Queries(rank=258); ARCHS4--Coexpression(rank=277)","165","rank=165; score=0.03659","rank=72; score=24.983; p=1.3291e-07; adjP=3.9927e-06","rank=19; score=1.8538; p=0.014003"
"9","TWIST2","ChEA3;ENRICHR;TRRUST","4","ChEA3;ENRICHR;TRRUST;CollecTRI","90.66666666666667","20","2","GTEx--Coexpression(rank=8); ARCHS4--Coexpression(rank=43)","20","rank=20; score=0.004978","rank=208; score=6.5938; p=0.10159; adjP=0.45168","rank=44; score=0.99313; p=0.10159"
"10","FOXP2","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","92.00000000000000","64","6","Enrichr--Queries(rank=20); ENCODE--ChIP-seq(rank=31); ReMap--ChIP-seq(rank=43); Literature--ChIP-seq(rank=101); GTEx--Coexpression(rank=548); ARCHS4--Coexpression(rank=648)","64","rank=64; score=0.01425","rank=126; score=5.9818; p=0.2135; adjP=0.3858","rank=86; score=0.6151; p=0.2426"
