"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR","TRRUST"
"1","ZEB1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","33.33333333333334","22","5","ENCODE--ChIP-seq(rank=5); Enrichr--Queries(rank=14); ReMap--ChIP-seq(rank=137); GTEx--Coexpression(rank=145); ARCHS4--Coexpression(rank=845)","46","rank=46; score=0.009972","rank=32; score=24.014; p=0.064496; adjP=0.2854","rank=22; score=1.0036; p=0.09918"
"2","ERG","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","40.00000000000000","25","5","GTEx--Coexpression(rank=21); Literature--ChIP-seq(rank=84); Enrichr--Queries(rank=86); ReMap--ChIP-seq(rank=213); ARCHS4--Coexpression(rank=596)","59","rank=59; score=0.01307","rank=25; score=20.29; p=0.042552; adjP=0.32986","rank=36; score=0.70979; p=0.19508"
"3","WT1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","40.33333333333334","15","4","Literature--ChIP-seq(rank=2); ARCHS4--Coexpression(rank=165); GTEx--Coexpression(rank=211); Enrichr--Queries(rank=645)","55","rank=55; score=0.0122","rank=15; score=41.139; p=1.5241e-07; adjP=2.7435e-05","rank=51; score=0.43444; p=0.36776"
"4","PPARG","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","47.00000000000000","27","5","GTEx--Coexpression(rank=10); ReMap--ChIP-seq(rank=47); Literature--ChIP-seq(rank=76); ARCHS4--Coexpression(rank=148); Enrichr--Queries(rank=353)","27","rank=27; score=0.006223","rank=61; score=20.317; p=0.00023114; adjP=0.0092454","rank=53; score=0.38513; p=0.41198"
"5","SOX17","ChEA3;ENRICHR;TRRUST","4","ChEA3;ENRICHR;TRRUST;CollecTRI","52.00000000000000","11","4","GTEx--Coexpression(rank=41); Literature--ChIP-seq(rank=129); Enrichr--Queries(rank=347); ARCHS4--Coexpression(rank=600)","108","rank=108; score=0.02551","rank=37; score=76.257; p=0.047056; adjP=0.2854","rank=11; score=1.3274; p=0.047056"
"6","GATA3","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","52.33333333333333","4","6","Literature--ChIP-seq(rank=5); ENCODE--ChIP-seq(rank=9); ReMap--ChIP-seq(rank=18); Enrichr--Queries(rank=302); GTEx--Coexpression(rank=483); ARCHS4--Coexpression(rank=488)","131","rank=131; score=0.03049","rank=22; score=22.948; p=0.00053101; adjP=0.016958","rank=4; score=1.4312; p=0.03705"
"7","RARA","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","53.33333333333334","34","5","Literature--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=173); GTEx--Coexpression(rank=771); ARCHS4--Coexpression(rank=806); Enrichr--Queries(rank=1100)","81","rank=81; score=0.01829","rank=45; score=24.119; p=7.3563e-05; adjP=0.0038563","rank=34; score=0.72451; p=0.18858"
"8","SALL4","ChEA3;ENRICHR;TRRUST","4","ChEA3;ENRICHR;TRRUST;CollecTRI","57.00000000000000","12","4","Literature--ChIP-seq(rank=40); ARCHS4--Coexpression(rank=43); Enrichr--Queries(rank=106); GTEx--Coexpression(rank=362)","113","rank=113; score=0.02641","rank=46; score=60.422; p=0.047295; adjP=0.21417","rank=12; score=1.2622; p=0.054682"
"9","NANOG","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","63.66666666666667","8","6","Literature--ChIP-seq(rank=6); ReMap--ChIP-seq(rank=52); ENCODE--ChIP-seq(rank=118); ARCHS4--Coexpression(rank=168); Enrichr--Queries(rank=366); GTEx--Coexpression(rank=1576)","154","rank=154; score=0.03659","rank=8; score=62.873; p=0.010994; adjP=0.16209","rank=29; score=0.77272; p=0.16876"
"10","REST","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","77.00000000000000","3","6","ENCODE--ChIP-seq(rank=6); Literature--ChIP-seq(rank=29); ReMap--ChIP-seq(rank=78); ARCHS4--Coexpression(rank=338); GTEx--Coexpression(rank=502); Enrichr--Queries(rank=642)","209","rank=209; score=0.05085","rank=19; score=30.202; p=0.026964; adjP=0.2265","rank=3; score=1.5692; p=0.026964"
