"TF","Best_Rank","Mean_Rank","Library_Count","Best_P_Value","Best_Adjusted_P_Value","Best_Combined_Score","Library","Top_Terms","Rank","Score","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","Method_Direction","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"SUZ12","1","3.333333333333333","3","0.0000000000005173229355189343","0.0000000003724725135736325","96.181649437750863285146","ChEA_2022(rank=1, adjP=3.72e-10); ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X(rank=1, adjP=0.000825); ENCODE_TF_ChIP-seq_2015(rank=8, adjP=1)","SUZ12 20075857 ChIP-Seq MESCs Mouse; SUZ12 CHEA; SUZ12 K562 hg19","1","96.181649437750863285146","enrichr","1","96.181649437750863285146","0.0000000000005173229355189343","0.0000000003724725135736325","","0","",NA,NA,NA
"EZH2","1","21.600000000000001","5","0.0000137066692621225030710103","0.0010965335409698000017353","33.879542633807481877284","ENCODE_TF_ChIP-seq_2015(rank=1, adjP=1); TRRUST_Transcription_Factors_2019(rank=7, adjP=0.285); ChEA_2022(rank=8, adjP=0.0011); ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X(rank=12, adjP=0.992); Transcription_Factor_PPIs(rank=80, adjP=0.748)","EZH2 B cell hg19; EZH2 human; EZH2 18974828 ChIP-Seq MESCs Mouse; EZH2 ENCODE; EZH2","2","33.879542633807481877284","enrichr","2","33.879542633807481877284","0.0000137066692621225030710103","0.0010965335409698000017353","","0","",NA,NA,NA
"DMRT1","1","145.500000000000000","2","0.0159362640648122305675471466","0.4631391272133799641430585","516.457583142280668653257","Transcription_Factor_PPIs(rank=1, adjP=0.635); ChEA_2022(rank=290, adjP=0.463)","DMRT1; DMRT1 23473982 ChIP-Seq TESTES Mouse","3","516.457583142280668653257","enrichr","3","516.457583142280668653257","0.0159362640648122305675471466","0.4631391272133799641430585","","4","Literature--ChIP-seq(rank=71); GTEx--Coexpression(rank=623); Enrichr--Queries(rank=794); ARCHS4--Coexpression(rank=1236)","1120","0.38769999999999999","GTEx Coexpression,0.3877"
"KAT2B","1","291.000000000000000","2","0.0046818472603595501571605020","0.2853960849878606764740141","122.398154166187239866304","TRRUST_Transcription_Factors_2019(rank=1, adjP=0.285); ENCODE_TF_ChIP-seq_2015(rank=581, adjP=1)","KAT2B human; KAT2B K562 hg19","4","122.398154166187239866304","enrichr","4","122.398154166187239866304","0.0046818472603595501571605020","0.2853960849878606764740141","","0","",NA,NA,NA
"MTF2","2","2.000000000000000","1","0.0000000009187548913301421221","0.0000003307517608788511036","65.533880289530742402349","ChEA_2022(rank=2, adjP=3.31e-07)","MTF2 20144788 ChIP-Seq MESCs Mouse","5","65.533880289530742402349","enrichr","5","65.533880289530742402349","0.0000000009187548913301421221","0.0000003307517608788511036","","3","Literature--ChIP-seq(rank=1); ARCHS4--Coexpression(rank=357); GTEx--Coexpression(rank=664)","25","0.00609800000000000","Literature ChIP-seq,0.006098"
"SMAD4","2","45.000000000000000","3","0.0002592211290046166310800657","0.0114057296762031332854059","26.769972715221527437279","ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X(rank=2, adjP=0.0114); ChEA_2022(rank=38, adjP=0.0361); Transcription_Factor_PPIs(rank=95, adjP=0.91)","SMAD4 CHEA; SMAD4 21799915 ChIP-Seq A2780 Human; SMAD4","6","26.769972715221527437279","enrichr","6","26.769972715221527437279","0.0002592211290046166310800657","0.0114057296762031332854059","","5","ReMap--ChIP-seq(rank=7); Literature--ChIP-seq(rank=16); Enrichr--Queries(rank=741); ARCHS4--Coexpression(rank=1189); GTEx--Coexpression(rank=1259)","99","0.02357000000000000","ReMap ChIP-seq,0.02357"
"EP300","2","59.000000000000000","4","0.0041555356213239576929074914","0.0498664274558874853759960","16.095200038029886968616","ENCODE_TF_ChIP-seq_2015(rank=2, adjP=1); ChEA_2022(rank=60, adjP=0.0499); TRRUST_Transcription_Factors_2019(rank=76, adjP=0.438); Transcription_Factor_PPIs(rank=98, adjP=0.922)","EP300 MCF-7 hg19; EP300 20729851 ChIP-Seq FORBRAIN MIDBRAIN LIMB HEART Mouse; EP300 human; EP300","7","16.095200038029886968616","enrichr","7","16.095200038029886968616","0.0041555356213239576929074914","0.0498664274558874853759960","","0","",NA,NA,NA
"NANOG","2","59.500000000000000","4","0.0109942325939066908035979253","0.1620918794775343396707967","62.872602414801235681807","TRRUST_Transcription_Factors_2019(rank=2, adjP=0.285); ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X(rank=11, adjP=0.844); Transcription_Factor_PPIs(rank=87, adjP=0.841); ChEA_2022(rank=138, adjP=0.162)","NANOG mouse; NANOG CHEA; NANOG; NANOG 18347094 ChIP-ChIP MESCs Mouse","8","62.872602414801235681807","enrichr","8","62.872602414801235681807","0.0109942325939066908035979253","0.1620918794775343396707967","","6","Literature--ChIP-seq(rank=6); ReMap--ChIP-seq(rank=52); ENCODE--ChIP-seq(rank=118); ARCHS4--Coexpression(rank=168); Enrichr--Queries(rank=366); GTEx--Coexpression(rank=1576)","154","0.03659000000000000","Literature ChIP-seq,0.03659"
"NR0B1","2","93.000000000000000","2","0.0285552058779992012915727173","0.2387574520052399562608514","28.762409302189890780710","Transcription_Factor_PPIs(rank=2, adjP=0.635); ChEA_2022(rank=184, adjP=0.239)","NR0B1; NR0B1 18358816 ChIP-ChIP MESCs Mouse","9","28.762409302189890780710","enrichr","9","28.762409302189890780710","0.0285552058779992012915727173","0.2387574520052399562608514","","4","Literature--ChIP-seq(rank=62); ARCHS4--Coexpression(rank=188); Enrichr--Queries(rank=415); GTEx--Coexpression(rank=546)","442","0.11550000000000001","ARCHS4 Coexpression,0.1155"
"SNAI1","3","3.000000000000000","1","0.0224173721874163997536122395","0.2853960849878606764740141","35.278092201149355844336","TRRUST_Transcription_Factors_2019(rank=3, adjP=0.285)","SNAI1 mouse","10","35.278092201149355844336","enrichr","10","35.278092201149355844336","0.0224173721874163997536122395","0.2853960849878606764740141","","3","Enrichr--Queries(rank=304); GTEx--Coexpression(rank=969); ARCHS4--Coexpression(rank=1228)","740","0.21650000000000000","Enrichr Queries,0.2165"
"BCL11A","3","3.000000000000000","1","0.0145521536526389792809421664","0.9999961280798164153793550","18.934769942123399033562","ENCODE_TF_ChIP-seq_2015(rank=3, adjP=1)","BCL11A H1-hESC hg19","11","18.934769942123399033562","enrichr","11","18.934769942123399033562","0.0145521536526389792809421664","0.9999961280798164153793550","","5","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=76); ARCHS4--Coexpression(rank=252); GTEx--Coexpression(rank=468); Enrichr--Queries(rank=664)","37","0.00847500000000000","ENCODE ChIP-seq,0.008475"
"ESR1","3","31.199999999999999","5","0.0012442277108130352612780367","0.0298614650595128358623320","20.577120966707042271082","ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X(rank=3, adjP=0.235); TRRUST_Transcription_Factors_2019(rank=4, adjP=0.285); ChEA_2022(rank=30, adjP=0.0299); ENCODE_TF_ChIP-seq_2015(rank=33, adjP=1); Transcription_Factor_PPIs(rank=86, adjP=0.824)","ESR1 CHEA; ESR1 human; ESR1 22446102 ChIP-Seq UTERUS Mouse; ESR1 ECC-1 hg19; ESR1","12","20.577120966707042271082","enrichr","12","20.577120966707042271082","0.0012442277108130352612780367","0.0298614650595128358623320","","6","Literature--ChIP-seq(rank=9); ENCODE--ChIP-seq(rank=13); ReMap--ChIP-seq(rank=22); Enrichr--Queries(rank=476); GTEx--Coexpression(rank=560); ARCHS4--Coexpression(rank=652)","228","0.05488000000000000","Literature ChIP-seq,0.05488"
"PRDM14","3","114.500000000000000","2","0.0316201967624612986784704560","0.3206174620273514741519705","143.639809510221141408692","Transcription_Factor_PPIs(rank=3, adjP=0.635); ChEA_2022(rank=226, adjP=0.321)","PRDM14; PRDM14 21183938 ChIP-Seq MESCs Mouse","13","143.639809510221141408692","enrichr","13","143.639809510221141408692","0.0316201967624612986784704560","0.3206174620273514741519705","","5","ReMap--ChIP-seq(rank=5); ARCHS4--Coexpression(rank=39); Literature--ChIP-seq(rank=55); Enrichr--Queries(rank=278); GTEx--Coexpression(rank=1050)","76","0.01684000000000000","ReMap ChIP-seq,0.01684"
