"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","ENRICHR","TRRUST","CollecTRI"
"1","SP3","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","19.6","3","3","GTEx--Coexpression(rank=1013); Enrichr--Queries(rank=1266); ARCHS4--Coexpression(rank=1537)","1392","rank=8; score=4.1628; p=6.8734e-05","rank=47; score=2.9532; direction=Activated","rank=31; score=22.071; p=0.00044998; adjP=0.017864","rank=9; score=3.3468; p=0.00044999","rank=3; score=4.7532; p=2.0021e-06; direction=Activated"
"2","ATF4","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","23.8","2","4","ReMap--ChIP-seq(rank=8); GTEx--Coexpression(rank=105); Enrichr--Queries(rank=1175); ARCHS4--Coexpression(rank=1559)","118","rank=4; score=4.9605; p=1.0953e-05","rank=30; score=3.4013; direction=Repressed","rank=6; score=78.259; p=1.253e-05; adjP=0.0024872","rank=2; score=4.902; p=1.2531e-05","rank=77; score=2.8173; p=0.0048432; direction=Repressed"
"3","SP1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","24.2","1","5","ENCODE--ChIP-seq(rank=87); ReMap--ChIP-seq(rank=198); GTEx--Coexpression(rank=807); Enrichr--Queries(rank=1206); ARCHS4--Coexpression(rank=1417)","1201","rank=10; score=4.0461; p=8.9927e-05","rank=101; score=1.8444; direction=Activated","rank=4; score=37.291; p=1.1605e-07; adjP=4.6072e-05","rank=1; score=6.9353; p=1.1607e-07","rank=5; score=4.4993; p=6.8167e-06; direction=Activated"
"4","STAT1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","29.8","11","6","ENCODE--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=16); ARCHS4--Coexpression(rank=95); Literature--ChIP-seq(rank=136); Enrichr--Queries(rank=270); GTEx--Coexpression(rank=1038)","224","rank=13; score=3.5026; p=0.00031432","rank=40; score=3.1473; direction=Activated","rank=60; score=13.277; p=0.002641; adjP=0.0081959","rank=25; score=2.2112; p=0.0061492","rank=11; score=4.2557; p=2.0838e-05; direction=Activated"
"5","CEBPA","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","37.6","8","5","Literature--ChIP-seq(rank=94); ReMap--ChIP-seq(rank=120); ARCHS4--Coexpression(rank=382); Enrichr--Queries(rank=637); GTEx--Coexpression(rank=858)","711","rank=63; score=1.4977; p=0.031789","rank=20; score=3.9273; direction=Activated","rank=19; score=5.7213; p=0.029912; adjP=0.06373","rank=78; score=0.83246; p=0.14707","rank=8; score=4.4042; p=1.0618e-05; direction=Activated"
"6","ZEB1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","49.0","8","5","ENCODE--ChIP-seq(rank=19); GTEx--Coexpression(rank=125); Enrichr--Queries(rank=156); ARCHS4--Coexpression(rank=160); ReMap--ChIP-seq(rank=231)","305","rank=70; score=1.3384; p=0.045879","rank=124; score=1.4803; direction=Repressed","rank=27; score=83.399; p=0.00044087; adjP=0.017864","rank=8; score=3.3557; p=0.00044088","rank=16; score=3.8881; p=0.00010104; direction=Activated"
"7","RUNX2","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","53.2","2","5","ReMap--ChIP-seq(rank=5); Literature--ChIP-seq(rank=12); GTEx--Coexpression(rank=26); Enrichr--Queries(rank=65); ARCHS4--Coexpression(rank=208)","72","rank=2; score=5.0346; p=9.2347e-06","rank=8; score=4.6107; direction=Activated","rank=81; score=46.855; p=2.4728e-12; adjP=6.8779e-11","rank=58; score=1.08; p=0.083178","rank=117; score=2.2343; p=0.025465; direction=Activated"
"8","SMAD3","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","56.8","20","5","Literature--ChIP-seq(rank=33); ReMap--ChIP-seq(rank=41); GTEx--Coexpression(rank=277); Enrichr--Queries(rank=590); ARCHS4--Coexpression(rank=984)","487","rank=42; score=2.0762; p=0.0083908","rank=126; score=1.4726; direction=Repressed","rank=20; score=26.904; p=6.6485e-07; adjP=6.7473e-06","rank=24; score=2.213; p=0.0061229","rank=72; score=2.8588; p=0.004252; direction=Activated"
"9","RELA","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","60.6","12","6","Literature--ChIP-seq(rank=28); ENCODE--ChIP-seq(rank=32); ReMap--ChIP-seq(rank=234); GTEx--Coexpression(rank=517); Enrichr--Queries(rank=1012); ARCHS4--Coexpression(rank=1162)","567","rank=35; score=2.2413; p=0.005737","rank=205; score=0.6557; direction=Activated","rank=37; score=19.616; p=8.3663e-06; adjP=5.8721e-05","rank=12; score=2.9121; p=0.0012243","rank=14; score=4.0381; p=5.3882e-05; direction=Activated"
"10","EGR1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","64.8","20","6","Literature--ChIP-seq(rank=36); ENCODE--ChIP-seq(rank=75); ReMap--ChIP-seq(rank=209); Enrichr--Queries(rank=402); GTEx--Coexpression(rank=678); ARCHS4--Coexpression(rank=866)","679","rank=20; score=2.9011; p=0.0012557","rank=160; score=1.0548; direction=Activated","rank=58; score=23.404; p=8.2293e-08; adjP=1.1036e-06","rank=21; score=2.511; p=0.0030831","rank=65; score=2.9769; p=0.0029121; direction=Activated"
