"TF","Best_Rank","Mean_Rank","Library_Count","Best_P_Value","Best_Adjusted_P_Value","Best_Combined_Score","Library","Top_Terms","Rank","Score","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","Method_Direction","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"SUZ12","1","42.25000000000000","4","0.0000000000000000000000000000000000000000000000000000000004543606442232341","0.000000000000000000000000000000000000000000000000000000341224843811649","397.011490240681496288744","ChEA_2022(rank=1, adjP=3.41e-55); ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X(rank=1, adjP=1.8e-38); ENCODE_TF_ChIP-seq_2015(rank=2, adjP=0.00013); Transcription_Factor_PPIs(rank=165, adjP=0.998)","SUZ12 20075857 ChIP-Seq MESCs Mouse; SUZ12 CHEA; SUZ12 NT2-D1 hg19; SUZ12","1","397.011490240681496288744","enrichr","1","397.011490240681496288744","0.0000000000000000000000000000000000000000000000000000000004543606442232341","0.000000000000000000000000000000000000000000000000000000341224843811649","","0","",NA,NA,NA
"EZH2","1","76.80000000000000","5","0.0000000000000000000000000000002271902925375286002582718591479842268261175","0.000000000000000000000000000028436651615947329769799976363255670080158","234.769034209817931468933","ENCODE_TF_ChIP-seq_2015(rank=1, adjP=1.15e-19); ChEA_2022(rank=5, adjP=2.84e-29); ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X(rank=9, adjP=0.00711); Transcription_Factor_PPIs(rank=107, adjP=0.998); TRRUST_Transcription_Factors_2019(rank=262, adjP=0.555)","EZH2 B cell hg19; EZH2 18974828 ChIP-Seq MESCs Mouse; EZH2 CHEA; EZH2; EZH2 human","2","234.769034209817931468933","enrichr","2","234.769034209817931468933","0.0000000000000000000000000000002271902925375286002582718591479842268261175","0.000000000000000000000000000028436651615947329769799976363255670080158","","0","",NA,NA,NA
"NR0B1","1","121.66666666666667","3","0.0000000085609279912397485937268349471228334746086829909472726285457611084","0.000000139766454813501045117781385225541601613485909183509647846221924","34.926380848737338169485","Transcription_Factor_PPIs(rank=1, adjP=0.998); ChEA_2022(rank=46, adjP=1.4e-07); TRRUST_Transcription_Factors_2019(rank=318, adjP=0.574)","NR0B1; NR0B1 18358816 ChIP-ChIP MESCs Mouse; NR0B1 mouse","3","34.926380848737338169485","enrichr","3","34.926380848737338169485","0.0000000085609279912397485937268349471228334746086829909472726285457611084","0.000000139766454813501045117781385225541601613485909183509647846221924","","4","Literature--ChIP-seq(rank=15); Enrichr--Queries(rank=186); ARCHS4--Coexpression(rank=191); GTEx--Coexpression(rank=1044)","349","0.09146000000000000","Literature ChIP-seq,0.09146"
"SP1","1","200.75000000000000","4","0.0000001160494946182238985647242860040073697547313713585026562213897705078","0.000046071649363434876811411455843625617490033619105815887451171875000","37.291219848167465045208","TRRUST_Transcription_Factors_2019(rank=1, adjP=4.61e-05); Transcription_Factor_PPIs(rank=12, adjP=0.998); ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X(rank=99, adjP=1); ENCODE_TF_ChIP-seq_2015(rank=691, adjP=1)","SP1 human; SP1; SP1 ENCODE; SP1 A549 hg19","4","37.291219848167465045208","enrichr","4","37.291219848167465045208","0.0000001160494946182238985647242860040073697547313713585026562213897705078","0.000046071649363434876811411455843625617490033619105815887451171875000","","5","ENCODE--ChIP-seq(rank=87); ReMap--ChIP-seq(rank=198); GTEx--Coexpression(rank=807); Enrichr--Queries(rank=1206); ARCHS4--Coexpression(rank=1417)","1201","0.50219999999999998","GTEx Coexpression,0.5022"
"MTF2","2","2.00000000000000","1","0.0000000000000000000000000000000000000000000000481357403872023706246275821","0.000000000000000000000000000000000000000000018074970515394487981768848","320.127865668943172750005","ChEA_2022(rank=2, adjP=1.81e-44)","MTF2 20144788 ChIP-Seq MESCs Mouse","5","320.127865668943172750005","enrichr","5","320.127865668943172750005","0.0000000000000000000000000000000000000000000000481357403872023706246275821","0.000000000000000000000000000000000000000000018074970515394487981768848","","3","Literature--ChIP-seq(rank=1); ARCHS4--Coexpression(rank=1323); GTEx--Coexpression(rank=1324)","26","0.00609800000000000","Literature ChIP-seq,0.006098"
"ATF4","2","2.00000000000000","1","0.0000125299450721182924998065716382100731607351917773485183715820312500000","0.002487194096815481276357973072776985645759850740432739257812500000000","78.259231597910400068940","TRRUST_Transcription_Factors_2019(rank=2, adjP=0.00249)","ATF4 human","6","78.259231597910400068940","enrichr","6","78.259231597910400068940","0.0000125299450721182924998065716382100731607351917773485183715820312500000","0.002487194096815481276357973072776985645759850740432739257812500000000","","4","ReMap--ChIP-seq(rank=8); GTEx--Coexpression(rank=105); Enrichr--Queries(rank=1175); ARCHS4--Coexpression(rank=1559)","118","0.02694000000000000","ReMap ChIP-seq,0.02694"
"MEIS1","2","48.00000000000000","2","0.0000050433541844997567413439246153394890370691427960991859436035156250000","0.000039854514569394270946493807894484007192659191787242889404296875000","19.577757706352091560120","Transcription_Factor_PPIs(rank=2, adjP=0.998); ChEA_2022(rank=94, adjP=3.99e-05)","MEIS1; MEIS1 26253404 ChIP-Seq OPTIC CUPS Mouse","7","19.577757706352091560120","enrichr","7","19.577757706352091560120","0.0000050433541844997567413439246153394890370691427960991859436035156250000","0.000039854514569394270946493807894484007192659191787242889404296875000","","5","Enrichr--Queries(rank=16); Literature--ChIP-seq(rank=30); ReMap--ChIP-seq(rank=58); GTEx--Coexpression(rank=114); ARCHS4--Coexpression(rank=509)","51","0.01140000000000000","Enrichr Queries,0.0114"
"SOX2","2","94.75000000000000","4","0.0000000000000000000000000000086046271536864187397352176483857946102618584","0.000000000000000000000000000923153570345500404761108910989954169695325","175.825755713925303780343","ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X(rank=2, adjP=1.67e-05); ChEA_2022(rank=7, adjP=9.23e-28); Transcription_Factor_PPIs(rank=131, adjP=0.998); TRRUST_Transcription_Factors_2019(rank=239, adjP=0.555)","SOX2 CHEA; SOX2 20726797 ChIP-Seq SW620 Human; SOX2; SOX2 human","8","175.825755713925303780343","enrichr","8","175.825755713925303780343","0.0000000000000000000000000000086046271536864187397352176483857946102618584","0.000000000000000000000000000923153570345500404761108910989954169695325","","5","Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=48); GTEx--Coexpression(rank=167); Enrichr--Queries(rank=269); ARCHS4--Coexpression(rank=326)","55","0.01220000000000000","Literature ChIP-seq,0.0122"
"WT1","3","11.00000000000000","2","0.0000000000000000143595783193029609288162289440358194297648984091115773043","0.000000000000000567581227252448763250227884633726746569561279719129399","74.951113453215398862994","TRRUST_Transcription_Factors_2019(rank=3, adjP=0.00552); ChEA_2022(rank=19, adjP=5.68e-16)","WT1 human; WT1 25993318 ChIP-Seq PODOCYTE Human","9","74.951113453215398862994","enrichr","9","74.951113453215398862994","0.0000000000000000143595783193029609288162289440358194297648984091115773043","0.000000000000000567581227252448763250227884633726746569561279719129399","","4","Literature--ChIP-seq(rank=4); Enrichr--Queries(rank=157); GTEx--Coexpression(rank=329); ARCHS4--Coexpression(rank=384)","105","0.02439000000000000","Literature ChIP-seq,0.02439"
"REST","3","42.60000000000000","5","0.0000000003513150013279705321372496440646875440205754159705975325778126717","0.000000006943093842034362210906579403364713432011967597645707428455353","47.585694422461862984619","ENCODE_TF_ChIP-seq_2015(rank=3, adjP=0.00478); ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X(rank=4, adjP=4.22e-05); TRRUST_Transcription_Factors_2019(rank=6, adjP=0.0157); ChEA_2022(rank=38, adjP=6.94e-09); Transcription_Factor_PPIs(rank=162, adjP=0.998)","REST HCT116 hg19; REST CHEA; REST human; REST 21632747 ChIP-Seq MESCs Mouse; REST","10","47.585694422461862984619","enrichr","10","47.585694422461862984619","0.0000000003513150013279705321372496440646875440205754159705975325778126717","0.000000006943093842034362210906579403364713432011967597645707428455353","","6","ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=9); GTEx--Coexpression(rank=27); ReMap--ChIP-seq(rank=49); ARCHS4--Coexpression(rank=770); Enrichr--Queries(rank=1076)","75","0.01680000000000000","GTEx Coexpression,0.0168"
