"GeneID","Symbol","Ensembl","Entrez","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000142089","IFITM3","ENSG00000142089","10410","0.5849403229051688","6.31769902816338558","5.993752546559388","0.00006674139229466617","0.5061306825179611","-3.075940595061409"
"ENSG00000198039","ZNF273","ENSG00000198039","10793","-0.6464869374473823","3.83104910336050386","-5.952850374863443","0.00007102591671596423","0.5061306825179611","-3.689038703646385"
"ENSG00000126217","MCF2L","ENSG00000126217","23263","0.5466416432506289","4.76380752859971679","5.141239605106933","0.00025625757515225684","0.9998576205266885","-3.481466964180657"
"ENSG00000164647","STEAP1","ENSG00000164647","26872","-0.6337191897297698","4.34110815202159017","-4.642589091374800","0.00059002096003424320","0.9998576205266885","-3.707229983897964"
"ENSG00000196208","GREB1","ENSG00000196208","9687","0.5859403465640325","2.91276180607666468","4.541708264428974","0.00070131303342366494","0.9998576205266885","-4.055124703187578"
"ENSG00000119640","ACYP1","ENSG00000119640","97","-0.5729920276900811","3.99924406759346196","-4.302212245631458","0.00106252322922257398","0.9998576205266885","-3.847963535234201"
"ENSG00000021762","OSBPL5","ENSG00000021762","114879","0.5537612830535865","6.10128493764178526","4.147961550092562","0.00139366078981592264","0.9998576205266885","-3.491167688086805"
"ENSG00000170860","LSM3","ENSG00000170860","27258","-0.5659704803633794","5.57976860759358217","-4.048381104086643","0.00166283759704215152","0.9998576205266885","-3.594008288050233"
"ENSG00000163359","COL6A3","ENSG00000163359","1293","1.7680903353850916","1.49282006191423444","3.980645514832728","0.00187623257878969632","0.9998576205266885","-4.328700725045889"
"ENSG00000126368","NR1D1","ENSG00000126368","9572","0.6469991443866139","4.18781278001849877","3.974783238455708","0.00189598480946080315","0.9998576205266885","-3.843583765317331"
"ENSG00000172115","CYCS","ENSG00000172115","54205","-0.5800439270012143","7.60258947610069225","-3.875511215179896","0.00226509650767078722","0.9998576205266885","-3.557232502063883"
"ENSG00000080824","HSP90AA1","ENSG00000080824","3320","-0.5414569460659138","10.97182379428102372","-3.868863291257447","0.00229232055809959218","0.9998576205266885","-3.764613459450526"
"ENSG00000154358","OBSCN","ENSG00000154358","84033","0.6027363378336412","5.21549791094569226","3.867962146879138","0.00229603671359773429","0.9998576205266885","-3.668069990922273"
"ENSG00000130303","BST2","ENSG00000130303","684","1.4340488506448636","3.22694330307689947","3.863897635903085","0.00231287530305857979","0.9998576205266885","-4.080776935169627"
"ENSG00000112541","PDE10A","ENSG00000112541","10846","-1.9456804824998164","-0.88150842575699839","-3.712253717396969","0.00304109622488277914","0.9998576205266885","-4.515249189221912"
"ENSG00000117148","ACTL8","ENSG00000117148","81569","-1.9816281550161414","-1.83621524289463234","-3.650666944145197","0.00340064579969586106","0.9998576205266885","-4.543093416227158"
"ENSG00000168306","ACOX2","ENSG00000168306","8309","0.7301163258091878","3.60990295450727272","3.621225577485299","0.00358764188690972007","0.9998576205266885","-4.037791611141982"
"ENSG00000122566","HNRNPA2B1","ENSG00000122566","3181","-0.6153665685735561","9.11025777037255402","-3.594140916239423","0.00376896256063069925","0.9998576205266885","-3.715371003108331"
"ENSG00000152078","TLCD4","ENSG00000152078","148534","-0.8204770850781951","4.25079187732058283","-3.588448660844287","0.00380824714798077462","0.9998576205266885","-3.934650734240011"
