"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"E2F1_Q6","E2F1_Q6","220","-0.4913444385946060","-2.209674725358971","0.0000000001000000000000000","0.000000009533333333333333","0.000000005308463787878246","2510","tags=36%, list=18%, signal=30%","H2AZ2/MCM6/MYH10/SSBP3/STAG1/MEPCE/GON7/SYNCRIP/PRKDC/EZH2/APPL1/E2F3/MCMBP/ILF3/GEN1/POLD1/SOAT1/DNMT1/PCLAF/CTCF/FBXO5/TMEM187/MCM4/UNG/CASP8AP2/CDC5L/GAPDH/ORC1/APH1A/FANCG/FMO4/PCNA/SUMO1/TOPBP1/DCTPP1/MCM2/EED/PRPS2/POLE2/GINS3/MRPL40/GMNN/ARHGAP11A/CDCA7/PBRM1/DNAJC9/CTDSPL2/CDK1/MCM3/TRA2B/SMC6/NCL/NASP/H2AC12/RANBP1/SMC3/ATAD2/STMN1/H4C1/TMPO/AP1S1/GPN3/CLSPN/DCK/SASS6/H2AZ1/UBR7/FANCD2/RPS6KA5/H2BC12/AP4M1/PHF5A/SP3/SNRPD1/ALDH6A1/ZCWPW1/MCM7/HNRNPR/CBX3/HNRNPA2B1",NA
"E2F1DP1_01","E2F1DP1_01","219","-0.4905540779376651","-2.207958937838001","0.0000000001000000000000000","0.000000009533333333333333","0.000000005308463787878246","2510","tags=37%, list=18%, signal=31%","H2AZ2/MCM6/MYH10/PPIG/STAG1/MEPCE/GON7/SYNCRIP/PRKDC/EZH2/APPL1/E2F3/MCMBP/ILF3/GEN1/POLD1/SOAT1/DNMT1/PCLAF/BRPF1/FBXO5/TMEM187/MCM4/PTMA/UNG/CASP8AP2/TRIM39/CDC5L/GAPDH/APH1A/FANCG/FMO4/PCNA/SUMO1/TOPBP1/DCTPP1/MCM2/EED/PRPS2/POLE2/GINS3/MRPL40/GMNN/ARHGAP11A/CDCA7/PBRM1/DNAJC9/CTDSPL2/CDK1/MCM3/TRA2B/SMC6/NCL/NASP/H2AC12/RANBP1/SMC3/ATAD2/STMN1/H4C1/TMPO/AP1S1/CLSPN/DCK/SASS6/H2AZ1/UBR7/FANCD2/RPS6KA5/H2BC12/AP4M1/PHF5A/SP3/SNRPD1/ALDH6A1/ZCWPW1/MCM7/HNRNPR/CBX3/HNRNPA2B1",NA
"E2F1DP2_01","E2F1DP2_01","219","-0.4905540779376651","-2.207958937838001","0.0000000001000000000000000","0.000000009533333333333333","0.000000005308463787878246","2510","tags=37%, list=18%, signal=31%","H2AZ2/MCM6/MYH10/PPIG/STAG1/MEPCE/GON7/SYNCRIP/PRKDC/EZH2/APPL1/E2F3/MCMBP/ILF3/GEN1/POLD1/SOAT1/DNMT1/PCLAF/BRPF1/FBXO5/TMEM187/MCM4/PTMA/UNG/CASP8AP2/TRIM39/CDC5L/GAPDH/APH1A/FANCG/FMO4/PCNA/SUMO1/TOPBP1/DCTPP1/MCM2/EED/PRPS2/POLE2/GINS3/MRPL40/GMNN/ARHGAP11A/CDCA7/PBRM1/DNAJC9/CTDSPL2/CDK1/MCM3/TRA2B/SMC6/NCL/NASP/H2AC12/RANBP1/SMC3/ATAD2/STMN1/H4C1/TMPO/AP1S1/CLSPN/DCK/SASS6/H2AZ1/UBR7/FANCD2/RPS6KA5/H2BC12/AP4M1/PHF5A/SP3/SNRPD1/ALDH6A1/ZCWPW1/MCM7/HNRNPR/CBX3/HNRNPA2B1",NA
"E2F4DP2_01","E2F4DP2_01","219","-0.4905540779376651","-2.207958937838001","0.0000000001000000000000000","0.000000009533333333333333","0.000000005308463787878246","2510","tags=37%, list=18%, signal=31%","H2AZ2/MCM6/MYH10/PPIG/STAG1/MEPCE/GON7/SYNCRIP/PRKDC/EZH2/APPL1/E2F3/MCMBP/ILF3/GEN1/POLD1/SOAT1/DNMT1/PCLAF/BRPF1/FBXO5/TMEM187/MCM4/PTMA/UNG/CASP8AP2/TRIM39/CDC5L/GAPDH/APH1A/FANCG/FMO4/PCNA/SUMO1/TOPBP1/DCTPP1/MCM2/EED/PRPS2/POLE2/GINS3/MRPL40/GMNN/ARHGAP11A/CDCA7/PBRM1/DNAJC9/CTDSPL2/CDK1/MCM3/TRA2B/SMC6/NCL/NASP/H2AC12/RANBP1/SMC3/ATAD2/STMN1/H4C1/TMPO/AP1S1/CLSPN/DCK/SASS6/H2AZ1/UBR7/FANCD2/RPS6KA5/H2BC12/AP4M1/PHF5A/SP3/SNRPD1/ALDH6A1/ZCWPW1/MCM7/HNRNPR/CBX3/HNRNPA2B1",NA
"E2F4DP1_01","E2F4DP1_01","224","-0.4866276744763123","-2.198525281719162","0.0000000001000000000000000","0.000000009533333333333333","0.000000005308463787878246","2704","tags=38%, list=19%, signal=31%","POLA1/RRM2/SLC25A14/ATF5/H2AZ2/MCM6/MYH10/STAG1/MEPCE/GON7/SYNCRIP/PRKDC/RBBP7/EZH2/APPL1/E2F3/MCMBP/NPR3/ILF3/ZSWIM9/GEN1/POLD1/SOAT1/DNMT1/PCLAF/FBXO5/TMEM187/MCM4/UNG/CASP8AP2/CDC5L/GAPDH/EIF1AX/APH1A/FANCG/FMO4/PCNA/SUMO1/TOPBP1/DCTPP1/MCM2/EED/PRPS2/POLE2/GINS3/MRPL40/LIG1/GMNN/ARHGAP11A/CDCA7/PBRM1/DNAJC9/CTDSPL2/CDK1/MCM3/TRA2B/SMC6/NCL/NASP/H2AC12/RANBP1/SMC3/ATAD2/STMN1/H4C1/TMPO/AP1S1/CLSPN/DCK/SASS6/H2AZ1/UBR7/FANCD2/RPS6KA5/H2BC12/AP4M1/PHF5A/SP3/SNRPD1/ALDH6A1/ZCWPW1/MCM7/HNRNPR/CBX3/HNRNPA2B1",NA
"E2F_02","E2F_02","220","-0.4888491035170397","-2.198452701827024","0.0000000001000000000000000","0.000000009533333333333333","0.000000005308463787878246","2510","tags=36%, list=18%, signal=30%","H2AZ2/MCM6/MYH10/PPIG/STAG1/MEPCE/GON7/SYNCRIP/PRKDC/EZH2/APPL1/E2F3/MCMBP/ILF3/GEN1/POLD1/SOAT1/DNMT1/PCLAF/BRPF1/FBXO5/TMEM187/MCM4/PTMA/UNG/CASP8AP2/TRIM39/CDC5L/GAPDH/APH1A/FANCG/FMO4/PCNA/SUMO1/TOPBP1/DCTPP1/MCM2/EED/PRPS2/POLE2/GINS3/MRPL40/GMNN/ARHGAP11A/CDCA7/PBRM1/DNAJC9/CTDSPL2/CDK1/MCM3/TRA2B/SMC6/NCL/NASP/H2AC12/RANBP1/SMC3/ATAD2/STMN1/H4C1/TMPO/AP1S1/CLSPN/DCK/SASS6/H2AZ1/UBR7/FANCD2/RPS6KA5/H2BC12/AP4M1/PHF5A/SP3/SNRPD1/ALDH6A1/ZCWPW1/MCM7/HNRNPR/CBX3/HNRNPA2B1",NA
"E2F_Q6","E2F_Q6","221","-0.4711382340622960","-2.108319947583019","0.0000000001828680496844493","0.000000013075065552438126","0.000000007280613147823643","2132","tags=32%, list=15%, signal=28%","EZH2/APPL1/E2F3/MCMBP/ILF3/GEN1/POLD1/SOAT1/DNMT1/PCLAF/CTCF/FBXO5/TMEM187/MCM4/UNG/CASP8AP2/GAPDH/APH1A/RAD51/FMO4/PCNA/SUMO1/CDC45/TOPBP1/DCTPP1/MCM2/EED/PPP1CC/POLE2/GINS3/MRPL40/GMNN/ARHGAP11A/CDCA7/PBRM1/RHCE/DNAJC9/CTDSPL2/CDK1/MCM3/TRA2B/SMC6/DDB2/NCL/NASP/H2AC12/RANBP1/SMC3/ATAD2/STMN1/H4C1/TMPO/CLSPN/DCK/HNRNPA1/SASS6/H2AZ1/UBR7/FANCD2/RPS6KA5/H2BC12/AP4M1/PHF5A/SP3/SNRPD1/ALDH6A1/TREX2/UFD1/MCM7/HNRNPR/HMGN2","0.8266573011783021"
"SGCGSSAAA_E2F1DP2_01","SGCGSSAAA_E2F1DP2_01","160","-0.4811491014068602","-2.094741973115389","0.0000000219837650963409928","0.000001143155785009731704","0.000000636545568737170321","2704","tags=38%, list=19%, signal=31%","POLA1/RRM2/ATF5/H2AZ2/MCM6/MYH10/MEPCE/GON7/SYNCRIP/PRKDC/E2F3/MCMBP/ILF3/GEN1/POLD1/DNMT1/PCLAF/FBXO5/TMEM187/MCM4/PTMA/UNG/CASP8AP2/TRIM39/FANCG/FMO4/PCNA/TOPBP1/DCTPP1/MCM2/EED/POLE2/GINS3/MRPL40/GMNN/CDCA7/DNAJC9/CTDSPL2/MCM3/TRA2B/SMC6/NCL/NASP/H2AC12/RANBP1/SMC3/ATAD2/H4C1/AP1S1/CLSPN/DCK/H2AZ1/UBR7/H2BC12/AP4M1/PHF5A/SNRPD1/ALDH6A1/ZCWPW1/MCM7/HNRNPR","0.7337619883564803"
"E2F_Q4","E2F_Q4","223","-0.4637555257775304","-2.085097043151372","0.0000000001495271430112775","0.000000012218503686064391","0.000000006803652205545073","2132","tags=31%, list=15%, signal=27%","EZH2/APPL1/E2F3/MCMBP/ILF3/GEN1/POLD1/SOAT1/DNMT1/PCLAF/CTCF/FBXO5/TMEM187/MCM4/UNG/CASP8AP2/GAPDH/APH1A/RAD51/FMO4/PCNA/SUMO1/CDC45/TOPBP1/DCTPP1/MCM2/EED/PPP1CC/POLE2/GINS3/MRPL40/GMNN/ARHGAP11A/CDCA7/PBRM1/RHCE/DNAJC9/CTDSPL2/CDK1/MCM3/TRA2B/SMC6/DDB2/NCL/NASP/H2AC12/RANBP1/SMC3/ATAD2/STMN1/TMPO/CLSPN/DCK/HNRNPA1/SASS6/H2AZ1/UBR7/FANCD2/RPS6KA5/H2BC12/AP4M1/PHF5A/SP3/SNRPD1/ALDH6A1/TREX2/UFD1/MCM7/HNRNPR/HMGN2","0.8266573011783021"
"E2F_03","E2F_03","229","-0.4505978227362298","-2.038439110058067","0.0000000017778122797530859","0.000000101690862401876512","0.000000056624712652287155","3367","tags=41%, list=24%, signal=32%","RPL28/RBL1/CDC6/STT3B/ZBTB8OS/SUGP1/PRRT2/DAXX/FHIP1B/HNRNPD/ING3/DMC1/JPH1/SERBP1/PKMYT1/NUP153/CNBP/SLBP/POLA1/VAMP3/LUC7L2/KLHDC3/MCM6/STAG1/TIPIN/PRKDC/RPA2/EZH2/E2F3/MCMBP/DIO3/ZSWIM9/MELK/POLD1/MARCKSL1/DNMT1/PCLAF/CTCF/FBXO5/TMEM187/MCM4/FUS/HNRNPA0/PTMA/UNG/ZGRF1/PDS5A/CASP8AP2/GAPDH/ORC1/RAD51/TCP1/FANCG/FMO4/CDC45/DCLRE1A/TOPBP1/ATP6V1D/DCTPP1/MCM2/NUTF2/GABPB2/LIG1/GMNN/CDCA7/RHCE/DNAJC9/CTDSPL2/MCM3/DDB2/NASP/H2AC12/KNTC1/RANBP1/SMC3/ATAD2/MRPL18/STMN1/DCK/HNRNPA1/SASS6/H2AZ1/PRIM1/RPS6KA5/AP4M1/EIF5A/DLST/ANP32E/PLK4/TREX2/UFD1/MCM7/ANP32A/EIF2S1/HMGN2","0.7881868108002371"
