"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"BIOCARTA_PROTEASOME_PATHWAY","BIOCARTA_PROTEASOME_PATHWAY","19","-0.8390010098173187","-2.259242608198270","0.0000001891322900595358","0.00005503749640732492","0.00004405776329370914","1367","tags=74%, list=10%, signal=67%","PSMB5/PSMB4/PSMA7/RPN1/UBA1/PSMA4/PSMB2/PSMA6/PSMB6/PSMB7/PSMA5/PSMB3/PSMA3/PSMA1","0.6901324587967956"
"BIOCARTA_SM_PATHWAY","BIOCARTA_SM_PATHWAY","14","-0.7738129520705850","-1.948683406925349","0.0003012759717435344259","0.04383565388868426033","0.03509063799994317778","1682","tags=71%, list=12%, signal=63%","SNRNP70/SNRPE/SNRPD2/SNRPB/U2AF1/SNRPG/SNRPA1/SNRPC/SNRPF/SNRPD1","0.4984931087665903"
"BIOCARTA_IL7_PATHWAY","BIOCARTA_IL7_PATHWAY","14","0.7663649976420842","1.923266664669446","0.0006040669543868957929","0.05859449457552889234","0.04690515631774994781","267","tags=21%, list=2%, signal=21%","JAK1/IL7/PIK3R1","0.4772708153628621"
"BIOCARTA_RNA_PATHWAY","BIOCARTA_RNA_PATHWAY","10","-0.7804280183767432","-1.790511717430690","0.0016371919397138465311","0.11910571361418233194","0.09534465918481647984","35","tags=20%, list=0%, signal=20%","EIF2S1/EIF2S2","0.4550598673872295"
"BIOCARTA_P27_PATHWAY","BIOCARTA_P27_PATHWAY","13","-0.7178990289308196","-1.788912615009451","0.0046804620378905030520","0.24461255722577163185","0.19581345170867200944","832","tags=38%, list=6%, signal=36%","TFDP1/CDKN1B/CKS1B/NEDD8/CDK2","0.4070179189239539"
"BIOCARTA_NOS1_PATHWAY","BIOCARTA_NOS1_PATHWAY","17","0.6537004536249403","1.734240789952364","0.0054615558374663808472","0.24461255722577163185","0.19581345170867200944","2607","tags=41%, list=18%, signal=34%","DLG4/CALM1/GRIN2D/GRIN2B/PRKACB/GRIN1/CALM2","0.4070179189239539"
"BIOCARTA_EIF_PATHWAY","BIOCARTA_EIF_PATHWAY","16","-0.6770049397657191","-1.715213617957376","0.0075653368214156167110","0.24461255722577163185","0.19581345170867200944","1015","tags=38%, list=7%, signal=35%","EIF2S3/EIF6/EIF1AX/EIF1/EIF2S1/EIF2S2","0.4070179189239539"
"BIOCARTA_LEPTIN_PATHWAY","BIOCARTA_LEPTIN_PATHWAY","9","0.7485217188904718","1.674514469026559","0.0089928063082844959114","0.26169066357107884091","0.20948455261227705293","2285","tags=67%, list=16%, signal=56%","PRKAG2/PRKAA2/LEPR/PRKAB1/ACACA/CPT1A","0.3807304007227924"
"BIOCARTA_CPSF_PATHWAY","BIOCARTA_CPSF_PATHWAY","9","-0.7449311738600672","-1.661998086980310","0.0211587736965619353791","0.35237005954304501110","0.28207381673472170514","2539","tags=56%, list=18%, signal=46%","CPSF2/CSTF3/CPSF3/CPSF4/PAPOLA","0.3524878575836192"
"BIOCARTA_PGC1A_PATHWAY","BIOCARTA_PGC1A_PATHWAY","14","0.6612963494004593","1.659586787213231","0.0152541548137235648958","0.34935399835977004601","0.27965944619888483125","1313","tags=29%, list=9%, signal=26%","PPARA/CALM1/SLC2A4/CAMK4","0.3807304007227924"
"BIOCARTA_REELIN_PATHWAY","BIOCARTA_REELIN_PATHWAY","5","0.8724948205328273","1.644983588975625","0.0063943682821601954824","0.24461255722577163185","0.19581345170867200944","569","tags=40%, list=4%, signal=38%","LRP8/CDK5R1","0.4070179189239539"
"BIOCARTA_CB1R_PATHWAY","BIOCARTA_CB1R_PATHWAY","5","0.8664145326097499","1.633519940579866","0.0075253288509462895259","0.24461255722577163185","0.19581345170867200944","540","tags=60%, list=4%, signal=58%","PLD1/PLD3/FAAH","0.4070179189239539"
"BIOCARTA_CELLCYCLE_PATHWAY","BIOCARTA_CELLCYCLE_PATHWAY","22","-0.5831407613321494","-1.619418182531531","0.0155931467813388187349","0.34935399835977004601","0.27965944619888483125","3367","tags=55%, list=24%, signal=42%","CDKN1A/CDK7/RB1/RBL1/CDKN2C/CDK1/CDKN2A/TFDP1/CDKN1B/CCNB1/CDK2/CDK4","0.3807304007227924"
"BIOCARTA_VEGF_PATHWAY","BIOCARTA_VEGF_PATHWAY","24","-0.5613132087345358","-1.619161211093369","0.0180079380597819617427","0.34935399835977004601","0.27965944619888483125","1015","tags=29%, list=7%, signal=27%","EIF2S3/HRAS/EIF2B5/EIF1AX/EIF1/EIF2S1/EIF2S2","0.3524878575836192"
"BIOCARTA_BARR_MAPK_PATHWAY","BIOCARTA_BARR_MAPK_PATHWAY","12","0.6591573590128922","1.618520898447188","0.0361257083969986417249","0.40251024590163936301","0.32221126131869098908","4286","tags=83%, list=30%, signal=58%","ARRB1/ADCY1/MAPK3/MAPK1/GNAS/KCNA2/DNM1/MAP2K2/PLCB1/GRK2","0.3217759180753611"
