"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"KEGG_SPLICEOSOME","KEGG_SPLICEOSOME","124","-0.6606488668088323","-2.538690733349499","0.000000000100000000000000","0.000000009300000000000001","0.000000006469781807190176","1682","tags=41%, list=12%, signal=37%","SNRNP70/RBM25/PPIH/SNRPE/ISY1/SNRNP27/PHF5A/SNRPD2/U2SURP/TRA2B/CTNNBL1/PRPF38A/SNRPB/LSM3/WBP11/U2AF1/DHX16/THOC1/THOC3/BUD31/PRPF31/SF3A3/SNRPG/SNRPA1/HNRNPU/SNRNP40/HNRNPA3/SNW1/U2AF2/BCAS2/RBM17/SF3B2/SRSF3/ZMAT2/SRSF6/SF3B6/USP39/HNRNPA1/SNRPC/TRA2A/HNRNPK/LSM8/ALYREF/AQR/LSM5/DDX46/MAGOH/HNRNPM/MAGOHB/SNRPF/SNRPD1",NA
"KEGG_OXIDATIVE_PHOSPHORYLATION","KEGG_OXIDATIVE_PHOSPHORYLATION","119","-0.6138320125130079","-2.395003507835787","0.000000000100000000000000","0.000000009300000000000001","0.000000006469781807190176","3335","tags=57%, list=23%, signal=44%","PPA1/ATP5PF/NDUFS7/ATP6V0B/COX6B2/NDUFC1/COX6B1/MT-ND3/UQCRFS1/NDUFB9/SDHB/NDUFB5/NDUFS1/NDUFA3/NDUFV2/ATP6V1C1/UQCRHL/NDUFB6/ATP5PD/CYC1/ATP6V1G1/COX7B/COX15/COX10/ATP6V1D/ATP5PO/NDUFAB1/NDUFB1/MT-ND1/NDUFA6/ATP5ME/MT-ND6/ATP4A/ATP5PB/MT-ND5/MT-ND2/COX6A1/MT-CYB/MT-ATP8/ATP5MC1/NDUFV1/SDHA/NDUFA11/NDUFA5/COX5A/ATP5MC3/NDUFS6/NDUFC2/NDUFB4/SDHD/NDUFB3/UQCRQ/NDUFA8/NDUFS3/NDUFA1/COXFA4/ATP6V1E2/COXFA4L2/UQCR10/SDHC/COX17/ATP5F1E/ATP5F1B/COX8A/NDUFB2/NDUFA9/ATP5MG/ATP5MF",NA
"KEGG_PROTEASOME","KEGG_PROTEASOME","41","-0.6989033725278789","-2.238446926083841","0.000000284843103860273007","0.000010596163463602156145","0.000007371490925035104084","2103","tags=71%, list=15%, signal=60%","PSMB1/PSMD3/PSMD8/PSMC2/PSMD12/PSMB5/PSMC3/PSMB4/PSMD14/PSMA7/PSMD2/PSMD4/PSMC6/PSMA4/PSMB2/PSMA6/PSMB6/PSMD1/POMP/SEM1/PSMB7/PSMC5/PSMA5/PSMD7/PSMD13/PSMB3/PSMA3/PSMC1/PSMA1","0.6749628600110250"
"KEGG_PARKINSONS_DISEASE","KEGG_PARKINSONS_DISEASE","113","-0.5717167361605180","-2.161996386415089","0.000000003747618121961545","0.000000232352323561615794","0.000000161641810305086774","3246","tags=55%, list=23%, signal=43%","NDUFS7/COX6B2/NDUFC1/COX6B1/MT-ND3/UQCRFS1/NDUFB9/SDHB/NDUFB5/NDUFS1/NDUFA3/NDUFV2/UQCRHL/VDAC1/NDUFB6/ATP5PD/CYC1/COX7B/SLC25A5/ATP5PO/NDUFAB1/SLC18A2/NDUFB1/MT-ND1/NDUFA6/PPID/UBE2L3/MT-ND6/ATP5PB/MT-ND5/MT-ND2/COX6A1/MT-CYB/MT-ATP8/ATP5MC1/NDUFV1/SDHA/NDUFA5/COX5A/PARK7/ATP5MC3/NDUFS6/NDUFC2/NDUFB4/SDHD/NDUFB3/UQCRQ/UBB/UBA1/NDUFA8/NDUFS3/NDUFA1/COXFA4/COXFA4L2/UQCR10/SDHC/ATP5F1E/ATP5F1B/COX8A/CYCS/NDUFB2/NDUFA9","0.7614608014455848"
"KEGG_RIBOSOME","KEGG_RIBOSOME","85","-0.5610128982477289","-2.068389653271437","0.000000807704878574712410","0.000025038851235816084396","0.000017418914429938079600","3204","tags=39%, list=23%, signal=30%","RPS13/UBA52/RPL17/RPL36A/RPS19/RPS23/RSL24D1/RPL27/RPS25/RPL27A/RPL37A/RPLP2/RPL26L1/RPS27A/RPL26/RPS5/RPS3/RPS26/RPL39/RPL35A/RPS7/RPL23A/MRPL13/RPL41/RPLP1/RPL18/RPL28/RPL3L/RPS16/RPL21/FAU/RPS21/RPL35","0.6594443980379349"
"KEGG_HUNTINGTONS_DISEASE","KEGG_HUNTINGTONS_DISEASE","165","-0.4975372801149494","-1.984815519825559","0.000000066003403238564598","0.000003069158250593253981","0.000002135138087427511811","3246","tags=45%, list=23%, signal=35%","NDUFS7/COX6B2/CLTCL1/NDUFC1/COX6B1/UQCRFS1/NDUFB9/SDHB/NDUFB5/POLR2C/NDUFS1/NDUFA3/NDUFV2/HAP1/UQCRHL/DCTN2/TFAM/VDAC1/NDUFB6/ATP5PD/CYC1/PPARG/COX7B/SLC25A5/POLR2J/POLR2K/ATP5PO/NDUFAB1/NDUFB1/NDUFA6/PPID/ATP5PB/HDAC2/POLR2I/COX6A1/POLR2L/MT-CYB/BAX/POLR2G/MT-ATP8/ATP5MC1/POLR2F/NDUFV1/SOD1/SDHA/NDUFA5/COX5A/ATP5MC3/NDUFS6/NDUFC2/TBPL1/AP2M1/CREB1/AP2S1/NDUFB4/NRF1/SDHD/NDUFB3/UQCRQ/NDUFA8/NDUFS3/NDUFA1/COXFA4/POLR2E/POLR2H/COXFA4L2/UQCR10/SDHC/ATP5F1E/DNAH2/ATP5F1B/COX8A/CYCS/NDUFB2/NDUFA9","0.7049757151672383"
"KEGG_DNA_REPLICATION","KEGG_DNA_REPLICATION","36","-0.6250127511635540","-1.933610569953455","0.000194767729141004180236","0.003296190390964515160022","0.002293078776827665605370","3340","tags=61%, list=23%, signal=47%","RNASEH2B/POLE2/MCM2/RNASEH2A/POLE/RFC3/MCM3/POLE3/POLA1/POLD4/RFC4/MCM5/RFC5/RFC2/RNASEH1/PRIM2/LIG1/RPA3/MCM7/PRIM1/SSBP1/POLD2","0.5188480777437918"
"KEGG_RNA_DEGRADATION","KEGG_RNA_DEGRADATION","56","-0.5598368375110350","-1.913398331509730","0.000135630489160877657244","0.002803030109324805042859","0.001949999269496334539792","2541","tags=43%, list=18%, signal=35%","SKIC8/LSM4/DCPS/HSPA9/XRN2/LSM7/DDX6/CNOT1/EDC3/CNOT6/MTREX/EXOSC3/EXOSC4/LSM3/DIS3/C1D/EXOSC1/LSM1/MPHOSPH6/EXOSC8/LSM8/HSPD1/LSM5/PAPOLA","0.5188480777437918"
"KEGG_ECM_RECEPTOR_INTERACTION","KEGG_ECM_RECEPTOR_INTERACTION","64","0.5303039411509043","1.911142155495909","0.000117652957070278434398","0.002735431251883973721717","0.001902972403038535442049","1527","tags=30%, list=11%, signal=27%","LAMB2/LAMC1/ITGB4/ITGA9/ITGA10/ITGA3/LAMA5/DAG1/COL4A4/COL2A1/LAMB1/LAMB3/CD44/HSPG2/THBS1/COL1A1/VTN/ITGA6/LAMC2","0.5384340963099162"
"KEGG_CITRATE_CYCLE_TCA_CYCLE","KEGG_CITRATE_CYCLE_TCA_CYCLE","28","-0.6406903275177517","-1.882420319769419","0.000584894064008353387410","0.007770735421825266525664","0.005405909963506814672196","1106","tags=39%, list=8%, signal=36%","SDHA/IDH3A/SDHD/MDH2/PCK2/SDHC/SUCLA2/FH/DLAT/PDHA1/DLD","0.4772708153628621"
"KEGG_RNA_POLYMERASE","KEGG_RNA_POLYMERASE","29","-0.6252144219530661","-1.842841597282586","0.000832279423744991466057","0.009364692038292871459348","0.006514786470890957144342","1939","tags=38%, list=14%, signal=33%","POLR2J/POLR2K/POLR2I/POLR2L/POLR2G/POLR2F/POLR3F/POLR3H/POLR2E/POLR2H/POLR1D","0.4772708153628621"
"KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC","KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC","56","0.5329220963326129","1.841322434043472","0.000301507906985040686175","0.004644171700412552498960","0.003230836298580278941744","1449","tags=23%, list=10%, signal=21%","DES/LMNA/ITGB4/ITGA9/CACNB3/ITGA10/ITGA3/DAG1/JUP/ACTG1/CACNB4/CACNA1S/ITGA6","0.4984931087665903"
"KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS","KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS","94","-0.4830349802208375","-1.786231443912671","0.000194935990863492821261","0.003296190390964515160022","0.002293078776827665605370","3175","tags=43%, list=22%, signal=33%","H3-3B/H2BC14/H3-5/H2BC17/H2AZ2/C8G/H2AC19/H2BC5/H2BC13/C1R/H3C2/H2BC12/H2AJ/HLA-DMB/H2AC4/H2BC4/H4C1/H3C4/H2BC11/H2AC6/H4C14/RO60/H3C1/H2BC21/C2/H2AC12/H4C3/SNRPB/H4C2/H4C4/H3C12/H2AZ1/H4C16/SSB/H2AC14/H4C5/H2AC15/H2AC13/H3C10/SNRPD1","0.5188480777437918"
"KEGG_AMINOACYL_TRNA_BIOSYNTHESIS","KEGG_AMINOACYL_TRNA_BIOSYNTHESIS","41","-0.5551977923740035","-1.778186857523783","0.001252656977213375318753","0.011649709888084391895546","0.008104417321824933934105","1400","tags=34%, list=10%, signal=31%","SARS2/MTFMT/YARS2/IARS1/YARS1/EPRS1/KARS1/IARS2/WARS1/TARS1/CARS2/CARS1/MARS1/GARS1","0.4550598673872295"
"KEGG_CELL_CYCLE","KEGG_CELL_CYCLE","121","-0.4606620272189442","-1.771001030205829","0.000059246886087596310592","0.001574274401756130606356","0.001095184073549140867446","4085","tags=52%, list=29%, signal=37%","CCND2/GSK3B/MCM6/ANAPC13/ORC4/CUL1/CHEK2/CCNA2/E2F2/CDC6/BUB1B/E2F5/ESPL1/STAG1/CDKN1A/STAG2/MCM2/CDK7/ANAPC4/RB1/YWHAB/TFDP2/YWHAQ/SKP1/TTK/RBL1/CCNB2/YWHAE/SFN/MDM2/CDKN2C/BUB1/PRKDC/CDC20/SMC1A/ANAPC1/DBF4/MCM3/CDK1/GADD45G/CHEK1/CDC45/ANAPC11/CDKN2A/HDAC2/MCM5/PKMYT1/CDC14B/ORC5/YWHAZ/PTTG1/MAD2L2/TFDP1/CDKN1B/MAD2L1/RAD21/MCM7/CCNB1/CDC16/SMC3/CDK2/CDK4/ANAPC7","0.5573322387586460"
"KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM","KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM","64","0.4824984330709897","1.738857707527934","0.001207272105975973992484","0.011649709888084391895546","0.008104417321824933934105","1671","tags=27%, list=12%, signal=24%","DES/LMNA/ITGB4/ITGA9/CACNB3/ITGA10/PRKAG2/ITGA3/TPM1/DAG1/PRKAA2/ACTG1/PRKAB1/CACNB4/CACNA1S/ITGA6/ACE","0.4550598673872295"
"KEGG_LYSOSOME","KEGG_LYSOSOME","114","0.4421252808056602","1.726242944888060","0.000324592645727759035717","0.004644171700412552498960","0.003230836298580278941744","2519","tags=35%, list=18%, signal=29%","GNPTG/ENTPD4/GNS/PSAPL1/MAN2B1/SLC17A5/ASAH1/SLC11A2/HYAL1/NAGPA/SCARB2/ARSG/ABCA2/CD164/IDUA/CTSB/ATP6AP1/PLA2G15/AP3M2/GAA/CTSC/ARSA/LIPA/CTSH/PPT2/GM2A/HGSNAT/TCIRG1/GALNS/TPP1/PSAP/CTSO/PPT1/MFSD8/ATP6V0A1/ACP2/MANBA/CTSK/SUMF1/NAGLU","0.4984931087665903"
"KEGG_DILATED_CARDIOMYOPATHY","KEGG_DILATED_CARDIOMYOPATHY","70","0.4727234999717595","1.701978479922034","0.001973404350153685343772","0.017478724244218358380154","0.012159519583670726911029","3882","tags=49%, list=27%, signal=35%","DES/LMNA/ITGB4/ITGA9/CACNB3/ITGA10/ADCY9/ITGA3/TPM1/DAG1/ADCY1/ACTG1/CACNB4/CACNA1S/ITGA6/ADCY6/ADCY5/TGFB3/ITGAV/PLN/PRKACB/TGFB1/CACNG4/MYL3/ITGB3/CACNB1/ITGB6/ATP2A2/ADRB1/ITGB5/GNAS/TNNC1/ITGA11/SGCB","0.4317076958033464"
"KEGG_JAK_STAT_SIGNALING_PATHWAY","KEGG_JAK_STAT_SIGNALING_PATHWAY","96","0.4448845122034682","1.689097888157193","0.000900925205907665061812","0.009364692038292871459348","0.006514786470890957144342","2310","tags=31%, list=16%, signal=26%","JAK1/IL7/SPRY4/SPRY1/STAT3/IFNGR2/PIK3R1/LIF/PIK3R3/SOCS5/SPRED1/JAK2/STAT2/IL15/PIAS3/LEPR/IL2RB/SOCS2/IL11RA/PIAS1/CSF2/CISH/CCND1/IL10RA/SOCS3/IL10RB/BCL2L1/PIAS4/SOS2/STAM2","0.4772708153628621"
