"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"MSX2_TARGET_GENES","MSX2_TARGET_GENES","14","-0.7897165411294568","-1.997261469000760","0.00013084180539412888756","0.00304344382322494032","0.00208529584833358786963","819","tags=43%, list=6%, signal=40%","ARL6IP1/ZNF426/PPP2CA/ZNF335/IK/AAGAB","0.5188480777437918"
"DMRT1_TARGET_GENES","DMRT1_TARGET_GENES","345","-0.4473982328228799","-1.934912273662282","0.00000000010000000000000","0.00000003010000000000","0.00000002062380930308431","3459","tags=43%, list=24%, signal=34%","ACAD9/NOP58/C11orf71/HARS1/ERBB3/TRIM52/PNO1/CWC25/NBPF1/KCMF1/PDE4D/COG5/BRCA1/AGPS/TMEM62/EGR2/PMVK/GDF15/SEC61A1/CCDC192/CLIC1/KPNB1/MRPL46/AKT1S1/CHD2/MRPL48/EXO1/RHBDD3/PHYKPL/BRAT1/TXN2/PIH1D2/CFDP1/MTIF3/MRPL1/UBLCP1/HDGF/GPR160/RBBP5/SOX30/SLX4IP/PRDM1/WDR74/TWNK/FDXACB1/TXNDC12/WRAP53/VPS50/PBX1/XRCC5/TSG101/ESF1/INTS14/S100A10/TPD52L2/ZSCAN21/BSCL2/SLTM/VPS33B/DEDD/ARRDC3/ZFAND5/EGR1/ATP6V1D/DNAAF10/RBM48/HOXA9/RAD51AP1/TBC1D1/BTF3L4/ZNF169/ZNF557/PHB2/SLC7A11/POLE3/PTCD3/UIMC1/ATP5PB/TASOR2/NKAPD1/MRPS12/EDC3/NOL8/SARS2/NUP107/CEP120/DDIT4/DDX21/NUP155/ZC3HC1/MRM3/EMG1/DOHH/FMC1/POLR2M/BEST1/PSMC3/MRPL13/NDUFA5/MRPS33/GABPB1/RPL41/WDR77/KIF2C/EWSR1/RPL18/TMEM267/WARS1/AVL9/SUB1/ZNF770/COQ7/TRIB3/CDKN1B/SNRPA1/HSPA4/CHAC1/NDUFB3/MTIF2/NUCKS1/ING3/SLC3A2/TAF15/SRI/IK/COXFA4/ZMAT2/SMIM15/LUC7L2/SEPHS2/BCLAF1/TIMM13/CCT5/RPS14/FAM53C/MRPL11/MRPL51/LSM8/LAD1/GRPEL2/EIF3B/IPO11/PPIA/AQR/CAPZA2/LSM5/MARS1/MACC1/PSAT1/EIF2S1",NA
"EPC1_TARGET_GENES","EPC1_TARGET_GENES","328","-0.4135287352730883","-1.804092894093617","0.00000007156509885435355","0.00001077054737758021","0.00000737972475764282491","2830","tags=33%, list=20%, signal=27%","CCDC47/NDUFS1/DRC9/SSU72/NOP56/RBL1/INTS1/SUPV3L1/TMEM39A/VWA8/WTAP/AIMP2/YWHAE/SNX5/UBE2B/PGRMC2/SLC4A2/ESF1/SNRNP35/UBE2S/NUF2/ZNF581/CCT2/ANP32B/TEX10/MTHFD2/NUDT9/RPL26/HERPUD1/KMT5B/POLR2J/TSFM/ZNHIT1/FNTA/WASHC2C/BANF1/DNAJC19/DUS3L/COA6/GATC/PTBP1/RPS26/RPL35A/KDM5C/ADRM1/HDAC2/LRRC59/FZD5/LDHB/RAN/RPL23A/RAD23B/PARL/IPO8/TRA2B/MKRN3/NDUFA11/XPOT/PTP4A2/GABPB1/ZP3/YARS1/EIF2S3/YBX1/NME1/GPN3/THOC1/BUD13/DHX37/EPRS1/B3GALNT2/BUD31/NRAS/TARS1/HRAS/ARFRP1/TMEM268/MTHFD1L/NOC4L/U2AF2/EZH2/TPT1/MTG1/MCM7/NCL/PRMT1/MRPL15/SLC3A2/ASNS/CAPZB/WDR43/ARHGAP11A/MIPEP/MOB3A/NUS1/RANBP1/EIF5A/TIMM13/ZGPAT/IPO11/MRPL3/DLAT/CCT4/ANP32A/PDAP1/MRPS35/ACTL8/GARS1","0.7049757151672383"
"TASOR_TARGET_GENES","TASOR_TARGET_GENES","251","-0.4242950179515441","-1.788667649231698","0.00000072212514716627891","0.00004347193385940999","0.00002978594265623805466","2782","tags=35%, list=20%, signal=28%","SELENOF/LRRCC1/CEP192/LEO1/MRFAP1/H2BC5/DNAAF5/NEURL4/PAF1/LSM4/MRFAP1L2/PDSS2/CDKN2C/TUBB/C1orf122/GCLM/H2BC12/TCEA1/TUBE1/RHBDF1/NUDT9/HERPUD1/H2BC4/PSMD8/RNF7/TMEM69/TGDS/NDUFAB1/H2BC11/DNAJC19/SLC7A11/CHEK1/H2AC6/RALGAPA1/PITHD1/RPS6KL1/INHBE/TAF5/TIMM23/DDIT4/CORO7/H2BC21/SLC31A1/TOMM7/PHF5A/HAT1/RPL23A/H2AC12/IARS1/IPO8/WFDC3/EED/CTNNBL1/H4C2/HAX1/YARS1/EPRS1/H3C12/EIF3K/PRPF31/TFDP1/CDCA7/C4orf46/IFT122/H1-2/CHAC1/TPT1/MPG/MRPL15/SLC3A2/TAF13/NSUN5/ZC3H15/RPS16/ASNS/PSMB6/ZMAT2/AHCY/RIOK2/TPD52L1/PCK2/DNAI7/REXO2/C4orf36/DLAT/CYCS/DLD","0.6594443980379349"
"ZNF19_TARGET_GENES","ZNF19_TARGET_GENES","12","-0.7529640510950174","-1.786545492580713","0.00313141333469036222195","0.04379842043407436436","0.03000964354846049134129","1499","tags=42%, list=11%, signal=37%","DHX29/MTREX/STAT6/CBX3/HNRNPA2B1","0.4317076958033464"
"CASP8AP2_TARGET_GENES","CASP8AP2_TARGET_GENES","279","-0.4190320811978101","-1.775810536311792","0.00000019036738675433006","0.00001432514585326334","0.00000981525170486950219","3141","tags=39%, list=22%, signal=31%","H2BC14/LIMA1/CPOX/VPS51/AGBL5/PSME2/ANKRD13A/FBXO28/SMG5/EDF1/FBXO33/PCLAF/C8G/EXOC8/SBF1/ILF2/CCDC12/KLHL7/INTS13/HIRA/DAGLB/MRPL39/HUS1/RCC1/SNRPB2/ANKHD1/FAM98B/H2BC12/C1GALT1/PSMD3/WDR31/H2AC4/H2BC4/AP5Z1/SELENOW/RAB18/TMEM41A/H2BC11/FGFR1OP2/PHB2/STAT1/PCID2/COA6/UIMC1/H2AC6/DNAJC25/POR/ISY1/NOL8/TRIP4/H3C1/NUDT5/CORO7/H2BC21/RPS7/EXOSC3/PDCD2L/H2AC12/COX16/H4C3/EMG1/MRPL13/GGPS1/MKRN3/RNFT1/RFC2/DNTTIP2/MRPS18C/H4C2/RFX2/NDUFC2/NME1/GTF3C5/ZMYM4/LAS1L/ADPRHL1/CCAR2/SF3A3/GSTCD/ANKMY2/ZNF195/COX19/H2AC14/DMAP1/H1-2/PDRG1/MRPL16/MRPL58/DPM3/NDUFS3/CDC123/NCL/RBAK/SSBP1/MRPS15/CDC16/FUS/STK32C/MAP1LC3B/CUL4A/RANBP1/CWC27/AAGAB/HSPE1/GRPEL2/HSPD1/LSM5/SNRPD1/CHCHD2","0.6901324587967956"
"PPARGC1A_TARGET_GENES","PPARGC1A_TARGET_GENES","83","-0.4823097827412814","-1.773109979045228","0.00038040247190672827476","0.00715632150274532561","0.00490334252439140593632","1251","tags=25%, list=9%, signal=23%","CHORDC1/TCP1/MORC4/ATP5MC3/CRYZ/CACYBP/HSP90AA1/PCBD1/AHSA1/CKS1B/UBB/ACAA1/MRPL15/CKS2/FKBP4/RAP2A/PTGES3/HSPE1/CCT4/HSPD1/HMGB1","0.4984931087665903"
"ZNF404_TARGET_GENES","ZNF404_TARGET_GENES","16","-0.6722860551426942","-1.737649030448282","0.00888098945650029995835","0.07224804936234027752","0.04950265756042285247851","1233","tags=38%, list=9%, signal=34%","MTFMT/MTO1/PFAS/ALDOA/TRIM15/STAT6","0.3807304007227924"
"ZNF16_TARGET_GENES","ZNF16_TARGET_GENES","64","0.4805310534565267","1.726077032463827","0.00129065596298117975065","0.02044670762407026915","0.01400960129284868106725","3579","tags=39%, list=25%, signal=29%","KANK2/SEMA6B/TLE5/ARHGAP45/BCL11B/ERCC1/NOP53/KISS1R/BCR/TLE6/TJP3/MARK4/TRIM45/MT2A/SGK2/PALM/HOMER3/NFIC/KCNN1/PGLS/DAB2IP/HMG20B/GIPR/NUAK2/RAB3IL1","0.4550598673872295"
"ELF5_TARGET_GENES","ELF5_TARGET_GENES","404","-0.3847026407485741","-1.709835718336391","0.00000012399792950537816","0.00001244112559370628","0.00000852436550698736777","3138","tags=32%, list=22%, signal=26%","YWHAB/WDHD1/LIMA1/EIF2AK1/RPL36A/VPS51/RPS19/FAM219A/ANKRD13A/E2F6/PCLAF/NSA2/TIMM10/CDIN1/PFDN5/RAD50/RBM34/CCDC90B/DPAGT1/KIF3B/MRPL1/SELENOH/GTSE1/PGM2/C5orf34/SLX4IP/INTS13/MCAT/HELB/TTF1/THAP1/MARCHF5/MTRF1L/SMCO4/ARHGEF12/GEN1/SNRPB2/PPP1CC/PTPN6/PHF8/GABPB2/GABARAP/NFE2L2/ZNF227/ATP6V1D/NUDT18/FRG1/BANF1/UBE2L3/FGFR1OP2/GPR180/NOP2/SLC7A11/EFCAB11/TRIM11/SMC6/CNBD2/FAM76B/MTPN/TRIP4/DDX56/EOLA2/RPS7/ECT2/TUBA1C/VPS41/RAB2A/COX16/TAF2/IPO8/C19orf53/GPX8/POLR2M/MKRN3/RABEPK/UTP3/YWHAZ/RTRAF/RFX2/MYL12B/CTDSP2/YARS1/DPM1/AAMP/PPP2R1A/TBPL1/NUP42/LAS1L/RB1CC1/IDH3A/ADPRHL1/SF3A3/PPP2R3C/GSTCD/SDHD/NOL10/PYROXD1/ZNF335/U2AF2/LRRC28/MRPL52/PSMA4/SSBP1/CARS2/SF3B2/WDR43/MIPEP/ZMAT2/SMIM15/PTPN11/TIMM8B/ERH/DMTF1/ATP5MJ/ING1/RBM3/HSPE1/GRPEL2/MTFR2/MED4/TM9SF2/AQR/HSPD1/LSM5/GARS1/EIF2S1/SEC61G/PSMA1/CHCHD2","0.6901324587967956"
